date,discharge_cfs,site_no
2001-01-01,77100.0,07022000
2001-01-02,76200.0,07022000
2001-01-03,77000.0,07022000
2001-01-04,77400.0,07022000
2001-01-05,76700.0,07022000
2001-01-06,77700.0,07022000
2001-01-07,79600.0,07022000
2001-01-08,79600.0,07022000
2001-01-09,80200.0,07022000
2001-01-10,80400.0,07022000
2001-01-11,79700.0,07022000
2001-01-12,79000.0,07022000
2001-01-13,78600.0,07022000
2001-01-14,77400.0,07022000
2001-01-15,81100.0,07022000
2001-01-16,89000.0,07022000
2001-01-17,96400.0,07022000
2001-01-18,103000.0,07022000
2001-01-19,102000.0,07022000
2001-01-20,103000.0,07022000
2001-01-21,105000.0,07022000
2001-01-22,105000.0,07022000
2001-01-23,107000.0,07022000
2001-01-24,108000.0,07022000
2001-01-25,107000.0,07022000
2001-01-26,104000.0,07022000
2001-01-27,98100.0,07022000
2001-01-28,93700.0,07022000
2001-01-29,90200.0,07022000
2001-01-30,89400.0,07022000
2001-01-31,110000.0,07022000
2001-02-01,175000.0,07022000
2001-02-02,216000.0,07022000
2001-02-03,215000.0,07022000
2001-02-04,197000.0,07022000
2001-02-05,187000.0,07022000
2001-02-06,173000.0,07022000
2001-02-07,162000.0,07022000
2001-02-08,154000.0,07022000
2001-02-09,144000.0,07022000
2001-02-10,147000.0,07022000
2001-02-11,197000.0,07022000
2001-02-12,278000.0,07022000
2001-02-13,327000.0,07022000
2001-02-14,327000.0,07022000
2001-02-15,308000.0,07022000
2001-02-16,291000.0,07022000
2001-02-17,275000.0,07022000
2001-02-18,262000.0,07022000
2001-02-19,248000.0,07022000
2001-02-20,236000.0,07022000
2001-02-21,226000.0,07022000
2001-02-22,218000.0,07022000
2001-02-23,207000.0,07022000
2001-02-24,197000.0,07022000
2001-02-25,225000.0,07022000
2001-02-26,340000.0,07022000
2001-02-27,430000.0,07022000
2001-02-28,478000.0,07022000
2001-03-01,505000.0,07022000
2001-03-02,506000.0,07022000
2001-03-03,481000.0,07022000
2001-03-04,432000.0,07022000
2001-03-05,377000.0,07022000
2001-03-06,331000.0,07022000
2001-03-07,307000.0,07022000
2001-03-08,294000.0,07022000
2001-03-09,280000.0,07022000
2001-03-10,264000.0,07022000
2001-03-11,249000.0,07022000
2001-03-12,234000.0,07022000
2001-03-13,225000.0,07022000
2001-03-14,216000.0,07022000
2001-03-15,206000.0,07022000
2001-03-16,216000.0,07022000
2001-03-17,255000.0,07022000
2001-03-18,321000.0,07022000
2001-03-19,386000.0,07022000
2001-03-20,420000.0,07022000
2001-03-21,425000.0,07022000
2001-03-22,414000.0,07022000
2001-03-23,395000.0,07022000
2001-03-24,375000.0,07022000
2001-03-25,359000.0,07022000
2001-03-26,351000.0,07022000
2001-03-27,348000.0,07022000
2001-03-28,346000.0,07022000
2001-03-29,337000.0,07022000
2001-03-30,322000.0,07022000
2001-03-31,302000.0,07022000
2001-04-01,284000.0,07022000
2001-04-02,269000.0,07022000
2001-04-03,262000.0,07022000
2001-04-04,269000.0,07022000
2001-04-05,270000.0,07022000
2001-04-06,288000.0,07022000
2001-04-07,312000.0,07022000
2001-04-08,319000.0,07022000
2001-04-09,309000.0,07022000
2001-04-10,301000.0,07022000
2001-04-11,301000.0,07022000
2001-04-12,309000.0,07022000
2001-04-13,335000.0,07022000
2001-04-14,361000.0,07022000
2001-04-15,372000.0,07022000
2001-04-16,376000.0,07022000
2001-04-17,383000.0,07022000
2001-04-18,392000.0,07022000
2001-04-19,396000.0,07022000
2001-04-20,396000.0,07022000
2001-04-21,396000.0,07022000
2001-04-22,395000.0,07022000
2001-04-23,395000.0,07022000
2001-04-24,398000.0,07022000
2001-04-25,402000.0,07022000
2001-04-26,408000.0,07022000
2001-04-27,412000.0,07022000
2001-04-28,415000.0,07022000
2001-04-29,416000.0,07022000
2001-04-30,414000.0,07022000
2001-05-01,414000.0,07022000
2001-05-02,418000.0,07022000
2001-05-03,421000.0,07022000
2001-05-04,423000.0,07022000
2001-05-05,422000.0,07022000
2001-05-06,419000.0,07022000
2001-05-07,417000.0,07022000
2001-05-08,418000.0,07022000
2001-05-09,426000.0,07022000
2001-05-10,439000.0,07022000
2001-05-11,456000.0,07022000
2001-05-12,467000.0,07022000
2001-05-13,464000.0,07022000
2001-05-14,460000.0,07022000
2001-05-15,461000.0,07022000
2001-05-16,471000.0,07022000
2001-05-17,475000.0,07022000
2001-05-18,482000.0,07022000
2001-05-19,501000.0,07022000
2001-05-20,507000.0,07022000
2001-05-21,516000.0,07022000
2001-05-22,528000.0,07022000
2001-05-23,536000.0,07022000
2001-05-24,530000.0,07022000
2001-05-25,516000.0,07022000
2001-05-26,497000.0,07022000
2001-05-27,471000.0,07022000
2001-05-28,442000.0,07022000
2001-05-29,409000.0,07022000
2001-05-30,378000.0,07022000
2001-05-31,358000.0,07022000
2001-06-01,346000.0,07022000
2001-06-02,342000.0,07022000
2001-06-03,345000.0,07022000
2001-06-04,368000.0,07022000
2001-06-05,399000.0,07022000
2001-06-06,435000.0,07022000
2001-06-07,471000.0,07022000
2001-06-08,509000.0,07022000
2001-06-09,546000.0,07022000
2001-06-10,578000.0,07022000
2001-06-11,599000.0,07022000
2001-06-12,612000.0,07022000
2001-06-13,613000.0,07022000
2001-06-14,590000.0,07022000
2001-06-15,562000.0,07022000
2001-06-16,524000.0,07022000
2001-06-17,486000.0,07022000
2001-06-18,453000.0,07022000
2001-06-19,443000.0,07022000
2001-06-20,446000.0,07022000
2001-06-21,447000.0,07022000
2001-06-22,433000.0,07022000
2001-06-23,415000.0,07022000
2001-06-24,420000.0,07022000
2001-06-25,438000.0,07022000
2001-06-26,449000.0,07022000
2001-06-27,448000.0,07022000
2001-06-28,439000.0,07022000
2001-06-29,423000.0,07022000
2001-06-30,400000.0,07022000
2001-07-01,381000.0,07022000
2001-07-02,365000.0,07022000
2001-07-03,351000.0,07022000
2001-07-04,346000.0,07022000
2001-07-05,337000.0,07022000
2001-07-06,329000.0,07022000
2001-07-07,329000.0,07022000
2001-07-08,331000.0,07022000
2001-07-09,329000.0,07022000
2001-07-10,314000.0,07022000
2001-07-11,296000.0,07022000
2001-07-12,279000.0,07022000
2001-07-13,264000.0,07022000
2001-07-14,250000.0,07022000
2001-07-15,236000.0,07022000
2001-07-16,227000.0,07022000
2001-07-17,223000.0,07022000
2001-07-18,212000.0,07022000
2001-07-19,221000.0,07022000
2001-07-20,221000.0,07022000
2001-07-21,204000.0,07022000
2001-07-22,194000.0,07022000
2001-07-23,189000.0,07022000
2001-07-24,183000.0,07022000
2001-07-25,184000.0,07022000
2001-07-26,191000.0,07022000
2001-07-27,187000.0,07022000
2001-07-28,182000.0,07022000
2001-07-29,190000.0,07022000
2001-07-30,205000.0,07022000
2001-07-31,204000.0,07022000
2001-08-01,193000.0,07022000
2001-08-02,189000.0,07022000
2001-08-03,199000.0,07022000
2001-08-04,201000.0,07022000
2001-08-05,187000.0,07022000
2001-08-06,176000.0,07022000
2001-08-07,172000.0,07022000
2001-08-08,169000.0,07022000
2001-08-09,167000.0,07022000
2001-08-10,164000.0,07022000
2001-08-11,163000.0,07022000
