Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,SEAMAP
OREGON II,254,6/11/2003,07:22 AM,1,0,88,28.9620,W,30,0.4920,N,-88.482700,30.008200,0,22.70,4.4900,B178
OREGON II,254,6/11/2003,03:57 PM,2,0,87,56.7900,W,29,59.9220,N,-87.946500,29.998700,0,21.90,4.5800,B177
OREGON II,254,6/11/2003,10:33 AM,4,0,87,59.8920,W,29,15.1080,N,-87.998200,29.251800,0,196.20,4.2800,B322
OREGON II,254,6/11/2003,12:43 PM,5,0,88,2.5800,W,29,22.2480,N,-88.043000,29.370800,0,82.10,4.2500,ED23
OREGON II,254,6/17/2003,06:53 AM,7,0,96,22.9680,W,26,12.9900,N,-96.382800,26.216500,0,80.20,4.2700,TN23
OREGON II,254,6/17/2003,09:11 AM,9,0,96,0.3780,W,26,4.6200,N,-96.006300,26.077000,0,99.10,4.0200,TN22
OREGON II,254,6/17/2003,11:32 AM,10,0,96,30.1200,W,26,2.1120,N,-96.502000,26.035200,0,60.50,4.9100,B316
OREGON II,254,6/17/2003,03:29 PM,11,0,96,59.7780,W,26,0.0000,N,-96.996300,26.000000,0,25.40,5.6400,B32
OREGON II,254,6/17/2003,05:36 PM,12,0,97,6.2220,W,26,1.1100,N,-97.103700,26.018500,0,16.80,5.7900,TD06
OREGON II,254,6/17/2003,07:26 PM,13,0,96,55.7820,W,26,8.9520,N,-96.929700,26.149200,0,31.10,6.6000,TD14
OREGON II,254,6/17/2003,07:26 PM,13,0,96,55.7820,W,26,8.9820,N,-96.929700,26.149700,0,31.10,6.7800,TD14
OREGON II,254,6/18/2003,01:06 AM,14,0,97,2.6220,W,26,2.5380,N,-97.043700,26.042300,0,21.00,6.0500,TN09
OREGON II,254,6/18/2003,03:13 AM,15,0,97,2.6220,W,26,9.4800,N,-97.043700,26.158000,0,19.70,6.3300,TN08
OREGON II,254,6/18/2003,06:43 AM,16,0,96,59.9220,W,26,29.9220,N,-96.998700,26.498700,0,33.90,6.1200,B238
OREGON II,254,6/18/2003,10:17 AM,17,0,96,30.4020,W,26,29.7780,N,-96.506700,26.496300,0,81.30,4.3100,B239
OREGON II,254,6/18/2003,12:20 PM,18,0,96,0.5100,W,26,30.4200,N,-96.008500,26.507000,0,89.00,4.3800,TD23
OREGON II,254,6/18/2003,03:29 PM,19,0,96,36.4980,W,26,31.6920,N,-96.608300,26.528200,0,67.10,4.9400,TD22
OREGON II,254,6/18/2003,07:09 PM,21,0,96,29.7900,W,26,32.9820,N,-96.496500,26.549700,0,91.10,4.2000,TD22
OREGON II,254,6/18/2003,08:49 PM,22,0,96,41.0880,W,26,34.8720,N,-96.684800,26.581200,0,63.50,5.2600,TD19
OREGON II,254,6/19/2003,01:17 AM,24,0,96,51.5880,W,26,40.6680,N,-96.859800,26.677800,0,48.20,5.9300,TD18
OREGON II,254,6/19/2003,02:38 AM,25,0,96,50.7600,W,26,46.7580,N,-96.846000,26.779300,0,54.60,6.1600,TN18
