Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,Temperature,Fluorescence
OREGON II,282,6/11/2008,01:29 AM,1,0,88,8.2398,W,30,2.8302,N,-88.137330,30.047170,0,24.0,4.13619,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/001C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/001C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/11/2008,07:13 AM,3,0,87,56.8602,W,29,59.0700,N,-87.947670,29.984500,0,26.2,4.00668,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/003C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/003C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/11/2008,09:41 AM,4,0,88,11.4900,W,29,51.7602,N,-88.191500,29.862670,0,33.2,3.54702,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/004C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/004C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/11/2008,02:47 PM,5,0,88,4.8900,W,29,34.6500,N,-88.081500,29.577500,0,40.6,4.55788,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/005C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/005C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/11/2008,07:53 PM,8,0,88,18.1902,W,29,17.5698,N,-88.303170,29.292830,0,75.5,4.47553,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/008C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/008C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/11/2008,09:41 PM,9,0,88,21.0600,W,29,16.0098,N,-88.351000,29.266830,0,86.3,4.23099,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/009C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/009C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/11/2008,11:21 PM,10,0,88,25.1700,W,29,18.8202,N,-88.419500,29.313670,0,63.3,4.53912,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/010C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/010C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/12/2008,02:21 AM,11,0,88,6.6600,W,29,23.0598,N,-88.111000,29.384330,0,69.3,4.12474,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/011C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/011C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/12/2008,03:36 AM,12,0,88,3.7698,W,29,25.7202,N,-88.062830,29.428670,0,55.1,4.28582,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/012C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/012C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/12/2008,06:15 AM,13,0,88,10.2000,W,29,29.8998,N,-88.170000,29.498330,0,45.4,3.21969,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/013C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/013C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/13/2008,10:57 PM,15,0,88,52.3302,W,29,6.7302,N,-88.872170,29.112170,0,77.8,3.79020,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/015C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/015C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/14/2008,02:23 AM,16,0,88,29.4300,W,29,15.1998,N,-88.490500,29.253330,0,84.0,4.23550,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/016C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/016C01_proc_flS_xmiss_density.jpg
