OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00200035,Sample-Routine,Water,Surface Water,2001-10-17,14:15:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,L-2920061 corrected date from 10/18/01 per bottles (ASR Missing). 3/26/02 gb swapped RU data with 20012920060 per dist (Barr). 4/17/02 gb,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45712311,,,Phosphorus,Total,0.26,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00200035,Sample-Routine,Water,Surface Water,2001-10-17,14:15:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,L-2920061 corrected date from 10/18/01 per bottles (ASR Missing). 3/26/02 gb swapped RU data with 20012920060 per dist (Barr). 4/17/02 gb,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45712312,,,Phosphorus,Dissolved,0.140,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00200035,Sample-Routine,Water,Surface Water,2001-10-17,14:15:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,L-2920061 corrected date from 10/18/01 per bottles (ASR Missing). 3/26/02 gb swapped RU data with 20012920060 per dist (Barr). 4/17/02 gb,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45712363,,,Nitrogen,Suspended,0.452,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2001-12-19,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101004,Sample-Routine,Water,Surface Water,2001-08-08,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 8/10,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45699250,,,Phosphorus,Total,0.28,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101004,Sample-Routine,Water,Surface Water,2001-08-08,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 8/10,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45699251,,,Phosphorus,Dissolved,0.135,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101004,Sample-Routine,Water,Surface Water,2001-08-08,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 8/10,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45699320,,,Phosphorus,Suspended,0.100,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00101004,Sample-Routine,Water,Surface Water,2001-08-08,13:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,recvd 8/10,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45699343,,,Nitrogen,Suspended,0.426,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100396,Sample-Routine,Water,Surface Water,2001-02-07,13:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45663904,,,Phosphorus,Total,0.47,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",,USGS OF 92-146,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100396,Sample-Routine,Water,Surface Water,2001-02-07,13:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45663905,,,Phosphorus,Dissolved,0.148,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00100396,Sample-Routine,Water,Surface Water,2001-02-07,13:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45663936,,,Nitrogen,Suspended,0.574,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,,,,,,,,,NWIS
