#  Illinois Precipitation
# Units: Inches
Date,Value
200101,1.72
200102,3.19
200103,1.22
200104,2.84
200105,4.35
200106,3.81
200107,3.78
200108,4.07
200109,3.37
200110,6.08
200111,2.62
200112,2.6
200201,2.22
200202,1.83
200203,3.36
200204,5.11
200205,7.34
200206,4.02
200207,2.6
200208,4.19
200209,2.11
200210,3.07
200211,1.04
200212,2.17
200301,0.65
200302,1.83
200303,1.98
200304,3.18
200305,5.5
200306,3.79
200307,4.99
200308,2.55
200309,4.25
200310,1.98
200311,4.51
200312,2.56
200401,1.98
200402,0.76
200403,4.14
200404,1.8
200405,6.83
200406,3.17
200407,4.13
200408,5.08
200409,0.68
200410,4.84
200411,4.76
200412,1.8
200501,5.34
200502,1.88
200503,1.56
200504,2.57
200505,1.74
200506,1.87
200507,3.23
200508,3.68
200509,3.63
200510,1.26
200511,3.51
200512,1.16
200601,2.74
200602,0.88
200603,4.58
200604,3.79
200605,3.58
200606,2.98
200607,4.09
200608,4.05
200609,3.42
200610,3.8
200611,3.32
200612,3.4
200701,2.93
200702,2.31
200703,3.21
200704,3.51
200705,2.24
200706,4.13
200707,3.31
200708,4.36
200709,1.59
200710,3.5
200711,1.72
200712,3.87
200801,2.43
200802,4.4
200803,4.53
200804,4.34
200805,5.36
200806,5.49
200807,5.91
200808,1.93
200809,7.62
200810,2.42
200811,1.49
200812,4.25
200901,1.01
200902,2.43
200903,4.05
200904,6.16
200905,5.65
200906,5.12
200907,4.59
200908,4.72
200909,2.28
200910,8.49
200911,2.48
200912,3.98
201001,1.44
201002,1.53
201003,2.74
201004,3.36
201005,5.4
201006,7.71
201007,5.35
201008,3.18
201009,3.73
201010,1.32
201011,3.15
201012,1.77
201101,1.19
201102,3.24
201103,2.72
201104,7.62
201105,5.28
201106,6.69
201107,3.61
201108,1.87
201109,3.56
201110,1.8
201111,5.17
201112,3.35
201201,1.89
201202,1.48
201203,2.08
201204,3.13
201205,2.47
201206,1.73
201207,1.4
201208,3.5
201209,5.04
201210,3.93
201211,1.21
201212,2.25
201301,3.81
201302,2.65
201303,2.61
201304,6.93
201305,6.57
201306,5.33
201307,3.16
201308,1.44
201309,1.69
201310,3.33
201311,2.49
201312,2.48
201401,1.72
201402,2.22
201403,1.46
201404,5.15
201405,3.29
201406,6.77
201407,3.29
201408,5.19
201409,4.11
201410,4.33
201411,1.86
201412,1.9
201501,1.5
201502,1.43
201503,2.35
201504,3.41
201505,5.39
201506,9.44
201507,5.21
201508,3.02
201509,3.42
201510,1.44
201511,5.52
201512,6.67
201601,0.86
201602,1.31
201603,3.35
201604,3.3
201605,4.34
201606,3.13
201607,6.9
201608,6.77
201609,3.42
201610,2.38
201611,2.58
201612,1.4
201701,2.13
201702,0.73
201703,3.56
201704,6.88
201705,5.17
201706,3.19
201707,4.81
201708,2.4
201709,0.83
201710,5
201711,2.26
201712,0.84
201801,1.3
201802,4.88
201803,3.91
201804,2.42
201805,3.8
201806,6.29
201807,3.44
201808,4.91
201809,4.9
201810,3.68
201811,3.01
201812,3.25
201901,3.31
201902,3.21
201903,4.06
201904,4.58
201905,8.16
201906,5.16
201907,3.05
201908,4.05
201909,5
201910,5
201911,2.4
201912,1.88
202001,4.36
202002,2
202003,3.95
202004,4.32
202005,5.28
202006,3.61
202007,5.61
202008,1.91
202009,3.26
202010,2.97
202011,2.95
202012,1.71
202101,2.46
202102,1.67
202103,3.97
202104,3.04
202105,4.31
202106,5.17
202107,4.97
202108,3.73
202109,2.29
202110,6.02
202111,0.86
202112,2.52
202201,1.05
202202,3.16
202203,4.36
202204,3.55
202205,4.08
202206,2.76
202207,5.28
202208,4.06
202209,2.54
202210,2.22
202211,1.82
202212,2.37
202301,2.62
202302,2.83
202303,4.34
202304,2.55
202305,2.48
202306,1.89
202307,4.75
202308,4.01
202309,2.4
202310,3.3
202311,0.72
202312,2.76
202401,4.19
202402,0.48
202403,2.92
202404,6.01
202405,4.59
202406,3.08
202407,6.52
202408,2.81
202409,2.67
202410,0.9
202411,4.1
202412,2.6
