
#  Indiana Precipitation
# Units: Inches
Date,Value
200101,1.02
200102,2.86
200103,0.97
200104,2.75
200105,4.32
200106,4.09
200107,5.46
200108,4.02
200109,3.76
200110,7.75
200111,3.34
200112,3.62
200201,2.24
200202,2.32
200203,4.38
200204,5.59
200205,7.09
200206,3.28
200207,2.64
200208,2.82
200209,3.75
200210,2.87
200211,2.35
200212,2.86
200301,1.42
200302,2.74
200303,2.16
200304,3
200305,6.56
200306,3.26
200307,8.18
200308,3.54
200309,6.2
200310,2.4
200311,4.26
200312,2.68
200401,3.48
200402,0.83
200403,3.46
200404,1.83
200405,7.17
200406,4.43
200407,5.19
200408,4.85
200409,0.72
200410,4.14
200411,4.73
200412,2.57
200501,7.11
200502,2.25
200503,2.12
200504,3.04
200505,2.57
200506,3.21
200507,4.43
200508,4.76
200509,4.1
200510,1.24
200511,3.91
200512,2.15
200601,3.28
200602,1.62
200603,5.14
200604,4.27
200605,5.25
200606,4.2
200607,4.85
200608,4.76
200609,4.56
200610,5.01
200611,3.25
200612,4.83
200701,4.75
200702,2.43
200703,3.54
200704,4.15
200705,1.75
200706,3.28
200707,3.17
200708,4.55
200709,2.53
200710,3.81
200711,2.77
200712,5.06
200801,3.23
200802,4.81
200803,6.48
200804,3.36
200805,5.68
200806,6.58
200807,4.32
200808,2.01
200809,3.86
200810,2.23
200811,2.11
200812,5.02
200901,1.62
200902,2.8
200903,3.23
200904,5.74
200905,5.67
200906,4.69
200907,4.43
200908,3.76
200909,2.87
200910,6.69
200911,1.46
200912,3.1
201001,1.52
201002,1.48
201003,3.1
201004,3.16
201005,5.49
201006,7.68
201007,4.15
201008,1.84
201009,1.35
201010,1.17
201011,5.01
201012,1.44
201101,1.5
201102,4.21
201103,3.46
201104,9.61
201105,6.51
201106,5.22
201107,2.74
201108,2.55
201109,5.31
201110,3.29
201111,6.21
201112,4.58
201201,3.4
201202,1.54
201203,2.73
201204,2.22
201205,2.75
201206,1.29
201207,2.53
201208,4.05
201209,5.17
201210,3.95
201211,0.98
201212,3.21
201301,4.71
201302,2.21
201303,2.3
201304,6.38
201305,3.71
201306,6.24
201307,3.21
201308,1.84
201309,2.99
201310,4.12
201311,3.04
201312,4.39
201401,2.33
201402,2.64
201403,1.85
201404,5.73
201405,4.23
201406,5.61
201407,3.36
201408,4.96
201409,3.48
201410,4.13
201411,2.66
201412,2.59
201501,2.11
201502,1.4
201503,3.54
201504,4.79
201505,3.98
201506,9.07
201507,6.23
201508,2.57
201509,2.39
201510,2.42
201511,3.57
201512,5.44
201601,1.34
201602,2.78
201603,4.46
201604,4.17
201605,3.53
201606,4.28
201607,5.13
201608,6.48
201609,3.66
201610,2.61
201611,2.58
201612,2.36
201701,3.68
201702,1.35
201703,4.04
201704,4.83
201705,6.9
201706,4.37
201707,6.07
201708,2.26
201709,2.03
201710,4.32
201711,4.43
201712,1.33
201801,2.05
201802,5.91
201803,3.92
201804,3.59
201805,3.42
201806,6.55
201807,3.37
201808,5.33
201809,5.4
201810,2.82
201811,4.32
201812,3.35
201901,3.5
201902,4.45
201903,4.18
201904,5.62
201905,6.02
201906,6.12
201907,3.61
201908,3.51
201909,2.26
201910,4.29
201911,2.7
201912,3.26
202001,4.65
202002,2.81
202003,4.62
202004,3.05
202005,5.07
202006,3.52
202007,4.58
202008,3.31
202009,1.53
202010,4.44
202011,3.02
202012,1.8
202101,2.45
202102,2.21
202103,3.82
202104,2.94
202105,3.72
202106,5.93
202107,5.44
202108,3.42
202109,4.06
202110,6.03
202111,1.43
202112,4
202201,1.68
202202,4.53
202203,4.02
202204,3.3
202205,5.06
202206,2.34
202207,5.49
202208,3.83
202209,2.26
202210,1.79
202211,1.6
202212,2.28
202301,3.35
202302,3.1
202303,5.78
202304,2.78
202305,2.56
202306,2.55
202307,5.24
202308,3.84
202309,1.36
202310,3.51
202311,0.78
202312,2.2
202401,5.11
202402,1.12
202403,2.78
202404,6.68
202405,4.78
202406,2.81
202407,5.17
202408,2.65
202409,3.19
202410,0.33
202411,4.1
202412,4.17
