#  Iowa Precipitation
# Units: Inches
Date,Value
200101,1.42
200102,2.16
200103,1.3
200104,3.6
200105,7.04
200106,4.07
200107,3.12
200108,2.97
200109,4.07
200110,2.46
200111,1.55
200112,0.83
200201,0.4
200202,0.89
200203,1.16
200204,3.62
200205,4.1
200206,3.51
200207,4.24
200208,5.81
200209,1.71
200210,3.58
200211,0.22
200212,0.24
200301,0.39
200302,0.82
200303,1.15
200304,3.25
200305,4.61
200306,4.48
200307,4.11
200308,1.03
200309,3.11
200310,1
200311,3.46
200312,1.28
200401,0.96
200402,1.17
200403,3.75
200404,1.85
200405,7.74
200406,3.55
200407,4.33
200408,4.56
200409,2.66
200410,2.05
200411,2.21
200412,0.58
200501,1.31
200502,1.52
200503,1.05
200504,3.45
200505,3.85
200506,5.25
200507,3.27
200508,3.02
200509,3.29
200510,0.91
200511,1.75
200512,1.17
200601,0.99
200602,0.32
200603,3.17
200604,4.3
200605,2.44
200606,2.49
200607,3.22
200608,5.75
200609,4.22
200610,1.64
200611,1.77
200612,2.09
200701,0.91
200702,1.68
200703,2.86
200704,4.56
200705,5.35
200706,3.38
200707,3.38
200708,9.69
200709,2.87
200710,5.1
200711,0.18
200712,2.44
200801,0.68
200802,1.71
200803,1.26
200804,5.86
200805,5.67
200806,8.88
200807,5.88
200808,1.96
200809,4.16
200810,3.25
200811,1.72
200812,1.88
200901,0.68
200902,0.79
200903,2.97
200904,3.6
200905,3.64
200906,5.29
200907,4.62
200908,5.75
200909,1.73
200910,6.35
200911,1.19
200912,2.54
201001,1.3
201002,0.96
201003,1.72
201004,3.7
201005,4.19
201006,10.28
201007,7.89
201008,4.83
201009,5.4
201010,0.91
201011,1.64
201012,1.23
201101,0.94
201102,1.39
201103,1.5
201104,3.81
201105,5
201106,6.19
201107,3.4
201108,3.02
201109,1.68
201110,0.74
201111,2.08
201112,2.08
201201,0.57
201202,1.68
201203,1.91
201204,3.9
201205,3.51
201206,2.81
201207,1.17
201208,2.88
201209,1.62
201210,2.98
201211,1.05
201212,1.52
201301,0.95
201302,1.27
201303,2.09
201304,6.43
201305,8.65
201306,4.89
201307,1.74
201308,1.49
201309,1.94
201310,2.78
201311,1.59
201312,0.62
201401,0.43
201402,1.5
201403,0.81
201404,4.65
201405,3.04
201406,9.66
201407,3.3
201408,5.92
201409,4.35
201410,3.17
201411,0.76
201412,1.1
201501,0.52
201502,1.11
201503,0.56
201504,3.37
201505,5.06
201506,6.38
201507,5.5
201508,5.28
201509,4.18
201510,1.76
201511,4.08
201512,4.71
201601,0.59
201602,0.88
201603,2.28
201604,3.19
201605,4.36
201606,3.7
201607,5.92
201608,6.14
201609,6.12
201610,2.01
201611,1.39
201612,1.52
201701,1.56
201702,0.99
201703,2.56
201704,3.8
201705,4.8
201706,3.5
201707,2.94
201708,3.83
201709,2.31
201710,5.26
201711,0.41
201712,0.39
201801,1.02
201802,1.54
201803,2.28
201804,1.54
201805,4.7
201806,7.55
201807,3.39
201808,6.42
201809,8.1
201810,4.63
201811,1.81
201812,2.1
201901,1.28
201902,2.34
201903,2.19
201904,3.03
201905,8.21
201906,3.91
201907,3.38
201908,3.53
201909,6.21
201910,4.78
201911,1.49
201912,1.28
202001,1.41
202002,0.43
202003,2.91
202004,1.65
202005,4.57
202006,4.95
202007,2.93
202008,1.23
202009,4.07
202010,1.9
202011,2.09
202012,1.14
202101,1.24
202102,0.79
202103,2.78
202104,1.51
202105,3.85
202106,3.35
202107,4.01
202108,4.65
202109,1.81
202110,5
202111,0.98
202112,0.87
202201,0.78
202202,0.28
202203,2.65
202204,3.22
202205,3.59
202206,3.53
202207,3.23
202208,3.49
202209,1.9
202210,0.92
202211,2.04
202212,1.69
202301,1.93
202302,2.26
202303,1.46
202304,2.14
202305,2.67
202306,2.81
202307,3.09
202308,3.04
202309,2.14
202310,3.24
202311,0.31
202312,1.84
202401,1.82
202402,0.21
202403,2.6
202404,4.22
202405,7.55
202406,5.42
202407,5.05
202408,3.09
202409,0.69
202410,1.77
202411,3.29
202412,1.34
