#  Kentucky Precipitation
# Units: Inches
Date,Value
200101,2.09
200102,4.22
200103,2.82
200104,1.91
200105,4.57
200106,3.99
200107,6.33
200108,3.68
200109,2.59
200110,4.4
200111,4.36
200112,4.47
200201,3.87
200202,1.6
200203,7.41
200204,4.96
200205,6.23
200206,3.75
200207,3.4
200208,2.28
200209,6.15
200210,5.47
200211,3.52
200212,4.87
200301,1.98
200302,6.81
200303,2.16
200304,5.52
200305,6.8
200306,6.1
200307,4.67
200308,4.87
200309,5.75
200310,2.42
200311,5.57
200312,3.33
200401,3.88
200402,2.63
200403,4.23
200404,4.65
200405,8.28
200406,4.01
200407,5.26
200408,3.97
200409,3.95
200410,4.76
200411,5.68
200412,4.64
200501,4.9
200502,2.57
200503,3.76
200504,4.86
200505,2.44
200506,2.7
200507,4.23
200508,6.51
200509,1.3
200510,1.09
200511,3.04
200512,2.4
200601,5.41
200602,2.22
200603,3.55
200604,4.45
200605,4.3
200606,4
200607,4.53
200608,4.63
200609,8.19
200610,4.91
200611,3.22
200612,2.96
200701,4.18
200702,2.35
200703,2.76
200704,3.87
200705,2.05
200706,3.03
200707,4.28
200708,1.68
200709,2.1
200710,5.58
200711,3.31
200712,6.67
200801,3.23
200802,4.56
200803,6.96
200804,5.36
200805,4.97
200806,3.31
200807,4.65
200808,1.61
200809,0.9
200810,2.29
200811,2.6
200812,6.07
200901,4.59
200902,2.47
200903,3.25
200904,4.84
200905,6.61
200906,5.69
200907,6.66
200908,3.12
200909,5.49
200910,6.38
200911,1.07
200912,4.18
201001,3.52
201002,2.25
201003,2.69
201004,3.19
201005,8.21
201006,4.25
201007,4.58
201008,3.44
201009,1.81
201010,1.69
201011,4.9
201012,3.01
201101,2.16
201102,4.88
201103,5.51
201104,12.07
201105,6.75
201106,5.36
201107,3.94
201108,2.31
201109,5.89
201110,2.94
201111,7.58
201112,4.96
201201,3.8
201202,2.32
201203,4.5
201204,2.33
201205,4.25
201206,1.5
201207,5.54
201208,3.17
201209,5.88
201210,3.03
201211,1.34
201212,5.55
201301,5.6
201302,2.19
201303,4.95
201304,4.96
201305,4.44
201306,6.23
201307,6.42
201308,4.14
201309,3.66
201310,3.66
201311,3.4
201312,6.13
201401,2.34
201402,4.47
201403,3.44
201404,6.43
201405,3.65
201406,3.98
201407,3.67
201408,5.46
201409,2.19
201410,5.69
201411,2.43
201412,3.36
201501,1.97
201502,3.26
201503,6.34
201504,8.28
201505,2.67
201506,5.47
201507,9.37
201508,3.19
201509,2.89
201510,3.96
201511,4.38
201512,6.52
201601,1.88
201602,4.97
201603,4.22
201604,3.64
201605,6.06
201606,3.74
201607,8.39
201608,5
201609,2.13
201610,1.05
201611,2.07
201612,6.04
201701,4.25
201702,2
201703,4.58
201704,4.48
201705,6.1
201706,4.96
201707,4.61
201708,4.38
201709,4.45
201710,5.24
201711,2.29
201712,2.92
201801,2.47
201802,8.99
201803,5.18
201804,4.45
201805,4.88
201806,6.16
201807,4.27
201808,4.8
201809,8.06
201810,3.07
201811,5.82
201812,5.59
201901,4.73
201902,9.39
201903,3.68
201904,4.94
201905,4.43
201906,8.1
201907,5.23
201908,3.46
201909,0.22
201910,6.34
201911,4.69
201912,6.1
202001,4.47
202002,6.42
202003,6.84
202004,4.95
202005,5.58
202006,5.16
202007,5.22
202008,5.14
202009,3.98
202010,4.63
202011,2.23
202012,3.49
202101,4.12
202102,4.51
202103,6.78
202104,3.08
202105,3.57
202106,5.02
202107,6.2
202108,5.28
202109,4.23
202110,4.38
202111,1.98
202112,4.24
202201,5.3
202202,6.42
202203,3.4
202204,4.39
202205,4.86
202206,2.7
202207,8.04
202208,4.57
202209,1.91
202210,1.4
202211,2.58
202212,3.74
202301,5.45
202302,4.06
202303,5.03
202304,3.43
202305,3.28
202306,4.06
202307,5.84
202308,4.64
202309,1.79
202310,2.33
202311,1.55
202312,2.6
202401,5.89
202402,3.3
202403,2.77
202404,4.7
202405,7.66
202406,3.02
202407,5.17
202408,2.54
202409,6.56
202410,0.2
202411,4.84
202412,5.04
