#  Louisiana Precipitation
# Units: Inches
Date,Value
200101,5.58
200102,3.57
200103,9.32
200104,1.87
200105,1.94
200106,12.5
200107,4.34
200108,6.32
200109,6.34
200110,5.04
200111,5.94
200112,5.55
200201,4.01
200202,2.95
200203,5.58
200204,3.72
200205,2.41
200206,4.83
200207,5.4
200208,4.89
200209,6.18
200210,10.85
200211,5.48
200212,7.97
200301,1.11
200302,7.18
200303,3.33
200304,3.44
200305,2.37
200306,8.43
200307,5.88
200308,4.19
200309,4.82
200310,2.38
200311,5.48
200312,3.34
200401,5.12
200402,8.78
200403,2.48
200404,4.45
200405,10.02
200406,11.61
200407,4.33
200408,3.4
200409,1.75
200410,7.24
200411,9.23
200412,4.07
200501,3.59
200502,6.73
200503,3.35
200504,3.33
200505,3.28
200506,2.97
200507,5.59
200508,4.3
200509,5.96
200510,0.12
200511,2.75
200512,3.6
200601,4.08
200602,5.38
200603,2.64
200604,4.23
200605,2.53
200606,2.44
200607,5.67
200608,4.58
200609,3.14
200610,10.13
200611,2.6
200612,7.98
200701,7.22
200702,1.95
200703,1.63
200704,4.27
200705,4.51
200706,5.05
200707,8.72
200708,2.95
200709,5.1
200710,3.71
200711,3.22
200712,4.08
200801,4.93
200802,5.39
200803,3.57
200804,3.27
200805,5.79
200806,3.61
200807,2.51
200808,7.57
200809,8.99
200810,1.51
200811,3.75
200812,5.24
200901,2.47
200902,2.17
200903,6.96
200904,4.55
200905,4.7
200906,1.47
200907,6.69
200908,3.65
200909,6.11
200910,13.03
200911,1.71
200912,10.53
201001,3.5
201002,5.44
201003,2.42
201004,1.29
201005,3.24
201006,4.31
201007,5.48
201008,6.08
201009,1.3
201010,1.29
201011,5.36
201012,2.05
201101,4.75
201102,2.1
201103,3.88
201104,2.5
201105,1.51
201106,3.3
201107,6.16
201108,1.71
201109,7
201110,0.9
201111,3.69
201112,5.51
201201,4.7
201202,7.4
201203,8.02
201204,4.79
201205,2.17
201206,4.25
201207,7.74
201208,8.86
201209,5.66
201210,1.63
201211,1.68
201212,5.98
201301,10.93
201302,6.28
201303,1.47
201304,6.7
201305,5.43
201306,4.58
201307,4.41
201308,2.94
201309,5.71
201310,4.18
201311,5.02
201312,3.78
201401,2.06
201402,5.56
201403,4.47
201404,4.49
201405,7.46
201406,6.23
201407,5.95
201408,5.8
201409,2.99
201410,3.28
201411,3.5
201412,4.15
201501,5.86
201502,3.03
201503,5.85
201504,8.19
201505,8.24
201506,5.42
201507,3
201508,2.66
201509,2.76
201510,7.52
201511,9.09
201512,5.69
201601,4.28
201602,3.24
201603,10.6
201604,6.51
201605,5.72
201606,6.03
201607,4.83
201608,13.02
201609,3.18
201610,0.42
201611,2.95
201612,6.3
201701,6.63
201702,2.33
201703,3.64
201704,5.58
201705,9.14
201706,8.99
201707,4.76
201708,12.94
201709,0.88
201710,2.61
201711,1.58
201712,4.98
201801,4.7
201802,8.22
201803,4.88
201804,4.78
201805,2.07
201806,3.61
201807,5.1
201808,4.47
201809,7.61
201810,5.24
201811,6.98
201812,8.73
201901,5.71
201902,4.47
201903,2.01
201904,8.39
201905,8.17
201906,6.38
201907,7.38
201908,4.96
201909,1.79
201910,7.96
201911,1.68
201912,2.97
202001,7.54
202002,5.83
202003,3.85
202004,6.34
202005,5.67
202006,5.33
202007,6.96
202008,6.3
202009,4.24
202010,6.1
202011,3.57
202012,5.23
202101,3.52
202102,4.23
202103,5.33
202104,8.57
202105,11.38
202106,6.75
202107,6.79
202108,6.19
202109,6.91
202110,2.56
202111,1.33
202112,2.72
202201,2.5
202202,2.98
202203,5.86
202204,3.51
202205,4.95
202206,2.83
202207,5.54
202208,10.45
202209,1.89
202210,1.43
202211,6.74
202212,6.9
202301,7.07
202302,3.5
202303,3.28
202304,6.33
202305,3.34
202306,3.46
202307,3.47
202308,1.27
202309,2.8
202310,1.34
202311,2.53
202312,5.27
202401,9.89
202402,3.53
202403,6.13
202404,7.4
202405,8.4
202406,4.94
202407,8.18
202408,2.64
202409,6.57
202410,0.85
202411,6.72
202412,6.27
