#  Minnesota Precipitation
# Units: Inches
Date,Value
200101,0.83
200102,1.3
200103,0.55
200104,5.3
200105,4.06
200106,3.89
200107,3.37
200108,3.01
200109,2.3
200110,2.04
200111,2.07
200112,0.56
200201,0.23
200202,0.58
200203,1.24
200204,2.24
200205,2.28
200206,6.14
200207,4.94
200208,5.28
200209,2.35
200210,2.63
200211,0.26
200212,0.42
200301,0.23
200302,0.44
200303,0.89
200304,2.05
200305,3.57
200306,4.73
200307,3.19
200308,1.41
200309,2.9
200310,1.14
200311,0.96
200312,0.69
200401,0.76
200402,0.82
200403,1.55
200404,1.37
200405,5.63
200406,2.76
200407,4.19
200408,2.88
200409,5.52
200410,2.88
200411,0.63
200412,0.88
200501,1.39
200502,0.75
200503,0.78
200504,1.91
200505,4.06
200506,5.61
200507,2.59
200508,3.42
200509,4.46
200510,2.96
200511,2.57
200512,1.1
200601,0.5
200602,0.54
200603,1.69
200604,2.64
200605,2.64
200606,2.65
200607,2
200608,3.62
200609,3.16
200610,1.19
200611,0.86
200612,1.29
200701,0.44
200702,1.08
200703,2.17
200704,2.39
200705,3.04
200706,3.58
200707,2.17
200708,4.1
200709,4.05
200710,4.68
200711,0.28
200712,1.23
200801,0.21
200802,0.4
200803,0.77
200804,3.3
200805,2.82
200806,4.88
200807,2.99
200808,2.12
200809,3.36
200810,3.46
200811,1.55
200812,1.48
200901,0.6
200902,1.04
200903,2.6
200904,1.6
200905,1.74
200906,3.35
200907,2.76
200908,3.88
200909,1.38
200910,5.06
200911,0.75
200912,1.62
201001,0.89
201002,0.58
201003,0.95
201004,1.35
201005,3.15
201006,5.21
201007,4.95
201008,4.55
201009,6.41
201010,2.25
201011,1.38
201012,1.77
201101,1.05
201102,0.68
201103,1.19
201104,2.7
201105,4.14
201106,4.18
201107,4.68
201108,2.73
201109,1.21
201110,0.98
201111,0.34
201112,0.47
201201,0.56
201202,1.18
201203,1.63
201204,2.76
201205,5.96
201206,4.36
201207,3.28
201208,2.04
201209,0.61
201210,1.88
201211,0.87
201212,1.04
201301,1.01
201302,1.16
201303,1.7
201304,3.05
201305,4.39
201306,5.22
201307,2.86
201308,1.84
201309,2.45
201310,3.34
201311,0.62
201312,1.37
201401,0.8
201402,0.86
201403,0.87
201404,3.7
201405,3.51
201406,8.07
201407,2.5
201408,3.72
201409,2.36
201410,1.19
201411,0.81
201412,0.73
201501,0.49
201502,0.47
201503,0.6
201504,1.39
201505,5.3
201506,3.8
201507,4.07
201508,3.89
201509,2.71
201510,2.15
201511,2.68
201512,1.91
201601,0.54
201602,0.74
201603,1.96
201604,2.15
201605,2.53
201606,4.15
201607,6.07
201608,5.31
201609,4.62
201610,2.17
201611,1.72
201612,1.58
201701,0.98
201702,0.97
201703,0.81
201704,2.5
201705,3.21
201706,3.76
201707,2.64
201708,5.23
201709,3.72
201710,3.26
201711,0.51
201712,0.71
201801,0.57
201802,1.02
201803,1.17
201804,1.13
201805,2.79
201806,5.72
201807,4.3
201808,3.11
201809,4.32
201810,3.57
201811,1.05
201812,1.33
201901,0.65
201902,1.72
201903,1.66
201904,2.71
201905,4.1
201906,3.55
201907,4.62
201908,3.31
201909,6.12
201910,4.22
201911,1.17
201912,1.82
202001,0.88
202002,0.34
202003,1.18
202004,1.27
202005,2.08
202006,4.05
202007,4.88
202008,4.58
202009,1.46
202010,1.86
202011,1.13
202012,0.68
202101,0.56
202102,0.31
202103,1.44
202104,2.49
202105,1.76
202106,1.81
202107,1.8
202108,4.08
202109,2.91
202110,3.26
202111,1.21
202112,1.94
202201,0.59
202202,0.79
202203,1.16
202204,3.72
202205,5.03
202206,2.79
202207,3.08
202208,3.75
202209,1.53
202210,0.68
202211,1.81
202212,1.9
202301,1.04
202302,1.23
202303,1.6
202304,2.58
202305,2.18
202306,2.43
202307,2.02
202308,2.31
202309,3.21
202310,3.08
202311,0.44
202312,2.04
202401,0.48
202402,0.51
202403,1.22
202404,3.26
202405,5.22
202406,6.86
202407,3.24
202408,3.97
202409,0.58
202410,1.03
202411,2.3
202412,0.92
