#  Mississippi Precipitation
# Units: Inches
Date,Value
200101,5.91
200102,5.71
200103,7.71
200104,3.48
200105,3.29
200106,6.58
200107,4.5
200108,5.86
200109,5.06
200110,5.61
200111,6.59
200112,5.98
200201,6.06
200202,3.42
200203,7.3
200204,2.84
200205,4.66
200206,3.23
200207,5.36
200208,4.02
200209,9.69
200210,8.05
200211,4.32
200212,7.13
200301,1.75
200302,8.83
200303,3.48
200304,5.11
200305,5.79
200306,8.01
200307,6.01
200308,4.89
200309,3.97
200310,2.5
200311,5.27
200312,3.37
200401,4.25
200402,8.44
200403,2.87
200404,4.07
200405,7.32
200406,9.65
200407,4.33
200408,4.09
200409,1.6
200410,5.12
200411,8.29
200412,5.78
200501,3.6
200502,5.42
200503,4.18
200504,6.96
200505,3.19
200506,3.42
200507,6.26
200508,6.95
200509,3.28
200510,0.08
200511,2.93
200512,4.37
200601,6.13
200602,6.15
200603,3.75
200604,3.49
200605,3.7
200606,1.78
200607,3.14
200608,3.73
200609,3.85
200610,7.05
200611,3.53
200612,6.17
200701,4.89
200702,2.44
200703,0.85
200704,3.64
200705,2.4
200706,3.16
200707,7.44
200708,2.14
200709,3.86
200710,4.72
200711,2.22
200712,4.02
200801,4.13
200802,5.56
200803,4.22
200804,5.55
200805,6.11
200806,2.5
200807,2.84
200808,8.54
200809,5.95
200810,2.58
200811,3.26
200812,8.2
200901,3.7
200902,3.32
200903,8.32
200904,3.53
200905,8.69
200906,1.55
200907,6.98
200908,3.69
200909,7.86
200910,9.89
200911,2
200912,8.89
201001,5.14
201002,4.31
201003,3.89
201004,2.77
201005,5.89
201006,3.11
201007,4.15
201008,4.91
201009,0.84
201010,1.73
201011,5.58
201012,1.59
201101,4.44
201102,2.71
201103,6.8
201104,6.34
201105,1.99
201106,3.26
201107,5.69
201108,2.31
201109,7.98
201110,1.11
201111,4.1
201112,6.11
201201,4.23
201202,5.72
201203,6.76
201204,3.39
201205,3.14
201206,3.46
201207,7.02
201208,8.71
201209,4.18
201210,3.18
201211,2.18
201212,7.2
201301,9.07
201302,7.12
201303,4
201304,6.62
201305,6.11
201306,4.15
201307,4.36
201308,3.28
201309,5.29
201310,2.27
201311,5.25
201312,5.41
201401,2.08
201402,6
201403,5.6
201404,8.86
201405,5.16
201406,6.96
201407,4.14
201408,3.71
201409,2.54
201410,4.28
201411,3.17
201412,5.72
201501,4.7
201502,4.09
201503,6.4
201504,6.09
201505,6.18
201506,4.05
201507,4.4
201508,3.14
201509,1.58
201510,5.26
201511,7.45
201512,7.23
201601,3.6
201602,5.41
201603,10.83
201604,5.71
201605,2.52
201606,3.71
201607,4.9
201608,5.79
201609,1.8
201610,0.55
201611,3.29
201612,5.02
201701,6.7
201702,2.83
201703,4.1
201704,5.57
201705,6.65
201706,9.39
201707,4.83
201708,6.92
201709,2.64
201710,2.94
201711,1.32
201712,5.04
201801,3.66
201802,10.15
201803,5.57
201804,6.61
201805,3.58
201806,3.87
201807,4.61
201808,4.58
201809,6.6
201810,2.54
201811,6.52
201812,8.52
201901,6.17
201902,7.72
201903,3.32
201904,8.73
201905,5.97
201906,5.24
201907,6.79
201908,5.31
201909,0.41
201910,10.22
201911,2.71
201912,5.47
202001,8.72
202002,9.64
202003,6.1
202004,7.21
202005,3.77
202006,6.35
202007,6
202008,4.65
202009,3.57
202010,5.24
202011,2.84
202012,4.75
202101,3.76
202102,5.11
202103,7.7
202104,6.96
202105,4.93
202106,9.59
202107,7.23
202108,7.53
202109,4.76
202110,3.17
202111,1.26
202112,3.5
202201,3.78
202202,5.06
202203,7.01
202204,6.05
202205,4.88
202206,2.65
202207,5.44
202208,9.28
202209,1.6
202210,2.11
202211,5.43
202212,6.29
202301,6.95
202302,5.13
202303,5.33
202304,6.75
202305,3.1
202306,5.17
202307,4.86
202308,1.94
202309,1.51
202310,0.89
202311,2.51
202312,3.58
202401,8.56
202402,3.88
202403,7.44
202404,5.98
202405,5.6
202406,3.43
202407,5.17
202408,1.27
202409,5.5
202410,0.41
202411,4.95
202412,5.54
