#  Missouri Precipitation
# Units: Inches
Date,Value
200101,1.98
200102,4.39
200103,1.71
200104,2.97
200105,5.5
200106,5.91
200107,4.87
200108,2.98
200109,3.48
200110,4.36
200111,2.55
200112,2.91
200201,2.64
200202,1.42
200203,3.51
200204,4.6
200205,9.6
200206,2.95
200207,3.11
200208,3.74
200209,1.94
200210,3.54
200211,0.84
200212,2.32
200301,0.59
200302,2.46
200303,2.3
200304,4.04
200305,4.9
200306,4.72
200307,2.47
200308,3.74
200309,5.19
200310,2.24
200311,4.08
200312,3.3
200401,2.16
200402,0.93
200403,4.98
200404,3.43
200405,5.65
200406,3.47
200407,5.65
200408,5.21
200409,1.14
200410,4.76
200411,5.71
200412,1.44
200501,4.94
200502,2.37
200503,1.61
200504,3.35
200505,2.16
200506,3.9
200507,2.92
200508,5.54
200509,3.94
200510,1.71
200511,3.13
200512,0.83
200601,2.09
200602,0.53
200603,3.84
200604,3.74
200605,3.62
200606,3.12
200607,3.56
200608,4.46
200609,2.84
200610,3.71
200611,3.5
200612,3
200701,2.86
200702,2.37
200703,2.69
200704,3.77
200705,5.15
200706,5.11
200707,2.31
200708,3.24
200709,3
200710,3.95
200711,1.16
200712,3.97
200801,1.52
200802,4.47
200803,6.81
200804,6.6
200805,5.42
200806,6.98
200807,6.34
200808,2.54
200809,8.15
200810,2.52
200811,1.61
200812,3.14
200901,0.89
200902,1.89
200903,3.97
200904,5.23
200905,5.86
200906,5.77
200907,4.46
200908,4.77
200909,3.76
200910,9.87
200911,2.27
200912,2.97
201001,2.12
201002,1.73
201003,3.35
201004,3.94
201005,6.77
201006,4.79
201007,6.77
201008,2.53
201009,7.86
201010,0.73
201011,3.08
201012,0.9
201101,1.02
201102,3.52
201103,3.47
201104,7.6
201105,6.36
201106,4.08
201107,2.48
201108,3.92
201109,2.58
201110,1.21
201111,5.72
201112,3.74
201201,1.3
201202,2.3
201203,4.17
201204,3.74
201205,2.16
201206,1.9
201207,1.7
201208,2.44
201209,4.9
201210,3.17
201211,1.57
201212,1.68
201301,3.33
201302,3.19
201303,3.48
201304,6.21
201305,6.84
201306,4.46
201307,3.07
201308,4.08
201309,2.5
201310,3.61
201311,2.44
201312,2.5
201401,1.09
201402,1.22
201403,1.7
201404,5.09
201405,3.19
201406,6.1
201407,2.59
201408,4.34
201409,3.85
201410,6.23
201411,1.71
201412,2.2
201501,1.19
201502,1.7
201503,3.24
201504,3.53
201505,7.3
201506,7.36
201507,7.93
201508,3.96
201509,2.18
201510,1.56
201511,7.9
201512,7.67
201601,0.9
201602,1.02
201603,2.99
201604,3.71
201605,5.78
201606,2.43
201607,6.56
201608,6.61
201609,4.39
201610,2.29
201611,1.49
201612,1.27
201701,1.84
201702,0.59
201703,3.9
201704,9.57
201705,5.97
201706,4.32
201707,3.39
201708,5.15
201709,1.02
201710,3.78
201711,0.91
201712,1.01
201801,1.64
201802,4.89
201803,3.78
201804,2.03
201805,4.18
201806,3.7
201807,2.49
201808,5.66
201809,3.52
201810,4.68
201811,2.73
201812,3.7
201901,3.04
201902,3.6
201903,4.2
201904,3.5
201905,10.31
201906,5.71
201907,4.48
201908,6.16
201909,3.28
201910,5
201911,2.87
201912,1.67
202001,4.41
202002,2.51
202003,5.51
202004,3.98
202005,6.26
202006,3.64
202007,5.77
202008,2.91
202009,3.1
202010,3.68
202011,3.04
202012,1.53
202101,3.32
202102,1.15
202103,5.24
202104,4.36
202105,4.99
202106,5.57
202107,4.86
202108,2.99
202109,2.33
202110,5.97
202111,1.04
202112,2.19
202201,1.7
202202,2.97
202203,4.41
202204,4.52
202205,6.25
202206,2.75
202207,4
202208,3.86
202209,1.7
202210,2.74
202211,3.2
202212,2.16
202301,2.67
202302,2.94
202303,4.89
202304,1.75
202305,2.84
202306,1.89
202307,4.45
202308,6.01
202309,1.95
202310,2.99
202311,0.8
202312,2.62
202401,3.51
202402,0.61
202403,2.77
202404,5.69
202405,5.75
202406,4.88
202407,5.52
202408,3.03
202409,2.73
202410,1.47
202411,5.47
202412,2.51
