#  Ohio Precipitation
# Units: Inches
Date,Value
200101,1.28
200102,1.57
200103,1.79
200104,3.54
200105,5.42
200106,3.09
200107,3.63
200108,3.54
200109,3.09
200110,4.62
200111,2.98
200112,2.75
200201,2.06
200202,1.64
200203,3.77
200204,4.75
200205,5.18
200206,3.58
200207,2.75
200208,2.12
200209,4.11
200210,2.96
200211,2.89
200212,2.77
200301,1.61
200302,2.88
200303,2.18
200304,2.53
200305,6.79
200306,3.97
200307,6.71
200308,4.82
200309,5.96
200310,2.53
200311,3.65
200312,2.79
200401,3.61
200402,1.36
200403,3.26
200404,3.21
200405,6.89
200406,4.57
200407,4.56
200408,4.07
200409,4.31
200410,2.74
200411,3.61
200412,3.23
200501,6.7
200502,1.72
200503,2.59
200504,4.42
200505,2.44
200506,1.78
200507,4.17
200508,4.99
200509,3.35
200510,2.65
200511,3.46
200512,1.83
200601,3.08
200602,1.63
200603,2.66
200604,3.18
200605,4.18
200606,4.57
200607,5.55
200608,3.04
200609,4.79
200610,5.67
200611,2.17
200612,3.04
200701,4.51
200702,2.05
200703,4.07
200704,3.42
200705,1.56
200706,2.77
200707,3.62
200708,5.72
200709,2.37
200710,3.23
200711,3.24
200712,4.6
200801,2.36
200802,4.9
200803,6.41
200804,2.52
200805,4.67
200806,6.42
200807,3.61
200808,1.9
200809,2.52
200810,1.85
200811,2.4
200812,4.54
200901,2.47
200902,2.03
200903,2.47
200904,3.87
200905,3.68
200906,4.01
200907,4.05
200908,3.07
200909,2.67
200910,4.16
200911,0.98
200912,3.04
201001,1.76
201002,2.05
201003,2.85
201004,2.18
201005,5.37
201006,6.32
201007,3.45
201008,2.72
201009,2.11
201010,1.93
201011,4.14
201012,1.88
201101,1.47
201102,4.58
201103,4.24
201104,7.63
201105,6.55
201106,3.81
201107,3.8
201108,3.93
201109,5.89
201110,4.36
201111,5.42
201112,4.27
201201,3.38
201202,1.62
201203,3.09
201204,1.93
201205,3.68
201206,2.11
201207,3.45
201208,2.97
201209,5.1
201210,4.46
201211,0.83
201212,4.64
201301,2.61
201302,1.88
201303,2.42
201304,3.84
201305,2.28
201306,5.92
201307,6.68
201308,2.7
201309,2.63
201310,3.64
201311,2.96
201312,4.13
201401,2.08
201402,2.6
201403,2
201404,5.28
201405,3.98
201406,5.42
201407,3.45
201408,4.14
201409,2.19
201410,2.97
201411,1.93
201412,2.52
201501,2.46
201502,1.47
201503,3.52
201504,4.58
201505,3.34
201506,8.03
201507,4.75
201508,2.49
201509,3.07
201510,2.76
201511,2.24
201512,4.3
201601,1.34
201602,3.24
201603,4.01
201604,3.4
201605,3.4
201606,3.29
201607,3.23
201608,4.2
201609,3.72
201610,2.93
201611,1.31
201612,3.32
201701,4.06
201702,2.03
201703,4.5
201704,4.06
201705,5.29
201706,4.62
201707,6.29
201708,2.32
201709,1.86
201710,3.77
201711,5.14
201712,1.56
201801,2.31
201802,5.4
201803,3.3
201804,4.63
201805,4
201806,5.5
201807,3.26
201808,4.96
201809,6.3
201810,2.77
201811,5.16
201812,3.34
201901,3.42
201902,4.69
201903,3.54
201904,4.31
201905,4.82
201906,6.76
201907,4.45
201908,3.64
201909,1.74
201910,3.8
201911,2.19
201912,3.51
202001,3.51
202002,2.98
202003,4.98
202004,3.66
202005,5.1
202006,3.12
202007,3.16
202008,3.71
202009,3.18
202010,4.19
202011,2.51
202012,2.21
202101,1.98
202102,2.03
202103,2.98
202104,2.88
202105,3.79
202106,4.25
202107,5.66
202108,4.29
202109,3.79
202110,4.64
202111,1.56
202112,3.83
202201,2.32
202202,4.83
202203,2.82
202204,2.96
202205,5.39
202206,3.82
202207,5.06
202208,4.09
202209,3.06
202210,1.38
202211,2.8
202212,1.71
202301,4.23
202302,2.33
202303,4.17
202304,3.2
202305,2.29
202306,3.29
202307,5.22
202308,4.75
202309,0.97
202310,3.24
202311,1.6
202312,2.46
202401,4.37
202402,1.39
202403,3
202404,5.57
202405,4.27
202406,2.6
202407,3.15
202408,2.51
202409,3.4
202410,0.76
202411,3.25
202412,3.61
