#  South Dakota Precipitation
# Units: Inches
Date,Value
200101,0.82
200102,0.87
200103,0.46
200104,3.84
200105,2.48
200106,3.2
200107,3.8
200108,0.7
200109,1.8
200110,0.96
200111,1.19
200112,0.06
200201,0.28
200202,0.18
200203,0.95
200204,1.29
200205,1.64
200206,1.55
200207,1.79
200208,3.27
200209,1.59
200210,1.46
200211,0.06
200212,0.24
200301,0.45
200302,0.63
200303,0.94
200304,2.28
200305,2.79
200306,3.61
200307,1.63
200308,1.12
200309,1.81
200310,0.84
200311,0.74
200312,0.29
200401,0.33
200402,0.46
200403,1.61
200404,0.88
200405,3.7
200406,2.64
200407,2.86
200408,1.78
200409,3.88
200410,2.2
200411,0.36
200412,0.09
200501,0.37
200502,0.39
200503,0.69
200504,2.07
200505,3.7
200506,5.04
200507,1.66
200508,1.93
200509,2.14
200510,0.9
200511,1.07
200512,0.74
200601,0.3
200602,0.29
200603,1.35
200604,2.36
200605,1.2
200606,1.77
200607,0.75
200608,3.05
200609,3.4
200610,0.38
200611,0.35
200612,0.73
200701,0.19
200702,0.9
200703,2.13
200704,2.21
200705,4.53
200706,3.22
200707,0.93
200708,4
200709,1.49
200710,2.68
200711,0.05
200712,0.61
200801,0.22
200802,0.38
200803,0.9
200804,1.72
200805,4.06
200806,5.04
200807,2.96
200808,1.56
200809,2.11
200810,2.86
200811,1.15
200812,0.71
200901,0.4
200902,1
200903,1.75
200904,1.86
200905,1.27
200906,3.49
200907,3.45
200908,2.87
200909,1.3
200910,3.94
200911,0.11
200912,1.15
201001,0.61
201002,0.6
201003,1.19
201004,2.38
201005,3.69
201006,4.92
201007,3.73
201008,2.02
201009,3.26
201010,1
201011,0.33
201012,0.95
201101,0.93
201102,1.13
201103,1.05
201104,2.29
201105,4.5
201106,4.52
201107,3.15
201108,2.32
201109,0.63
201110,1.11
201111,0.24
201112,0.26
201201,0.41
201202,1.13
201203,0.37
201204,3.06
201205,2.79
201206,2.18
201207,1.54
201208,1.12
201209,0.2
201210,0.83
201211,0.32
201212,0.63
201301,0.45
201302,0.7
201303,0.67
201304,2.33
201305,4.82
201306,3.12
201307,2.47
201308,2.41
201309,1.91
201310,5.01
201311,0.3
201312,0.75
201401,0.24
201402,0.36
201403,0.76
201404,1.97
201405,2.42
201406,5.89
201407,1.04
201408,4.04
201409,1.61
201410,0.57
201411,0.62
201412,0.67
201501,0.27
201502,0.34
201503,0.24
201504,0.87
201505,5.72
201506,4.05
201507,3.02
201508,3.36
201509,1.33
201510,1.44
201511,1.02
201512,1.12
201601,0.27
201602,0.58
201603,1.04
201604,3.76
201605,2.54
201606,1.78
201607,2.74
201608,2.61
201609,1.97
201610,1.23
201611,0.91
201612,1.25
201701,0.68
201702,0.37
201703,0.66
201704,1.94
201705,2.12
201706,2.19
201707,2.12
201708,3.17
201709,2.49
201710,1.24
201711,0.23
201712,0.42
201801,0.3
201802,0.94
201803,1.53
201804,1.7
201805,2.71
201806,4.78
201807,3.4
201808,1.94
201809,2.55
201810,1.7
201811,0.73
201812,0.97
201901,0.49
201902,1.01
201903,1.69
201904,2.64
201905,5.9
201906,2.63
201907,5.45
201908,3.65
201909,3.9
201910,2.12
201911,0.94
201912,0.97
202001,0.41
202002,0.42
202003,0.78
202004,0.94
202005,2.71
202006,3.04
202007,3.34
202008,1.97
202009,0.74
202010,1.11
202011,0.36
202012,0.35
202101,0.31
202102,0.37
202103,1.21
202104,1.48
202105,2.25
202106,1.19
202107,2.47
202108,2.55
202109,2.03
202110,3.42
202111,0.24
202112,0.63
202201,0.21
202202,0.28
202203,0.43
202204,2.64
202205,3.41
202206,2.34
202207,2.79
202208,1.83
202209,0.59
202210,0.56
202211,0.49
202212,1.42
202301,0.8
202302,0.71
202303,1.11
202304,1.22
202305,2.97
202306,4.18
202307,2.56
202308,3.56
202309,2.26
202310,2.59
202311,0.19
202312,1.18
202401,0.35
202402,0.44
202403,0.68
202404,3.67
202405,2.98
202406,4.09
202407,2
202408,2.39
202409,0.5
202410,0.31
202411,1.16
202412,0.45
