#  Tennessee Precipitation
# Units: Inches
Date,Value
200101,3.71
200102,6.93
200103,3.33
200104,2.93
200105,4.42
200106,4.36
200107,4.84
200108,4.21
200109,3.57
200110,4.54
200111,5.68
200112,5.48
200201,6.65
200202,2.19
200203,9.14
200204,2.43
200205,5.55
200206,2.45
200207,4.14
200208,3.33
200209,7.3
200210,5.23
200211,4.23
200212,6.58
200301,2.1
200302,9.66
200303,2.54
200304,5.14
200305,9.71
200306,5.15
200307,5.79
200308,4.41
200309,5.64
200310,2.03
200311,5.77
200312,3.82
200401,3.33
200402,5.07
200403,4.8
200404,4.92
200405,5.28
200406,5.83
200407,4.85
200408,4.14
200409,4.36
200410,5.29
200411,6.77
200412,6.61
200501,4.29
200502,4.17
200503,3.35
200504,6.05
200505,1.62
200506,4.22
200507,5.35
200508,5.74
200509,2.63
200510,0.62
200511,3.66
200512,2.98
200601,6.37
200602,2.96
200603,3.19
200604,5.49
200605,4.13
200606,3.38
200607,3.65
200608,4.09
200609,4.67
200610,3.65
200611,3.9
200612,3.39
200701,4.12
200702,2.16
200703,2.21
200704,3.74
200705,1.8
200706,2.86
200707,3.69
200708,1.35
200709,3.02
200710,4.73
200711,3.57
200712,4.47
200801,3.45
200802,4.01
200803,6.52
200804,5.76
200805,4.99
200806,2.48
200807,3.94
200808,3.3
200809,1.26
200810,3.26
200811,2.67
200812,8.13
200901,4.61
200902,2.66
200903,4.52
200904,4.33
200905,8.36
200906,3.66
200907,6.96
200908,3.34
200909,7.13
200910,6.81
200911,2.02
200912,5.88
201001,5.3
201002,3.12
201003,3.88
201004,3.09
201005,9.01
201006,3.33
201007,4.34
201008,4.37
201009,2.02
201010,2.75
201011,5.64
201012,2.8
201101,3.18
201102,4.21
201103,6.96
201104,9.83
201105,5.02
201106,5.68
201107,3.17
201108,1.58
201109,6.56
201110,2.55
201111,7.56
201112,6.29
201201,4.88
201202,2.9
201203,4.86
201204,2.01
201205,3.25
201206,2.15
201207,5.75
201208,3.58
201209,5.81
201210,4.09
201211,1.7
201212,5.91
201301,8.64
201302,3.01
201303,4.97
201304,7.88
201305,5.66
201306,5.83
201307,6.96
201308,4.25
201309,3.72
201310,1.85
201311,3.71
201312,6.79
201401,2.7
201402,5.18
201403,3.93
201404,5.81
201405,2.91
201406,6.82
201407,4.13
201408,5
201409,2.22
201410,7.01
201411,3.23
201412,4.59
201501,2.81
201502,4.56
201503,5.41
201504,5.96
201505,3.68
201506,4.76
201507,6.48
201508,4.53
201509,2.73
201510,3.96
201511,6.38
201512,7.9
201601,2.76
201602,5.79
201603,5.16
201604,3.2
201605,3.8
201606,3.99
201607,4.86
201608,5.03
201609,1.8
201610,0.73
201611,3.05
201612,6.87
201701,4.24
201702,2.38
201703,5.77
201704,6.61
201705,5.95
201706,4.37
201707,5.36
201708,4.9
201709,4.31
201710,4.92
201711,2.78
201712,4.63
201801,2.55
201802,10.73
201803,5.67
201804,5.97
201805,4.99
201806,5.74
201807,3.52
201808,4.26
201809,7.29
201810,3.57
201811,5.51
201812,7.34
201901,5.78
201902,12.07
201903,4.26
201904,5.84
201905,3.71
201906,6.47
201907,6.13
201908,3.97
201909,0.5
201910,7.28
201911,4.74
201912,6.17
202001,6.73
202002,9.18
202003,8.15
202004,6.56
202005,4.56
202006,3.88
202007,4.76
202008,5.93
202009,4.37
202010,4.97
202011,1.98
202012,4.66
202101,3.32
202102,5.05
202103,10.15
202104,2.82
202105,4.27
202106,4.52
202107,5.06
202108,7.13
202109,4.86
202110,5.3
202111,1.68
202112,4.62
202201,6.06
202202,8.56
202203,4.52
202204,4.71
202205,4.46
202206,2.58
202207,5.55
202208,4.28
202209,2.74
202210,1.95
202211,3.52
202212,5.88
202301,6.43
202302,4.46
202303,5.71
202304,4.02
202305,3.99
202306,3.88
202307,5.69
202308,6.57
202309,1.44
202310,1.16
202311,1.93
202312,3.51
202401,6.47
202402,4.34
202403,4.42
202404,4.09
202405,7.99
202406,2.63
202407,4.83
202408,1.25
202409,7.41
202410,0.35
202411,3.82
202412,5.54
