#  Wisconsin Precipitation
# Units: Inches
Date,Value
200101,1.17
200102,1.65
200103,0.68
200104,4.86
200105,4.91
200106,4.73
200107,2.61
200108,4.48
200109,4.04
200110,2.43
200111,2.26
200112,1.23
200201,0.5
200202,1.78
200203,2.27
200204,4.21
200205,3
200206,5.64
200207,3.63
200208,4.58
200209,4.57
200210,3.93
200211,0.39
200212,0.58
200301,0.36
200302,0.64
200303,1.85
200304,2.76
200305,4.82
200306,3.35
200307,3.28
200308,1.96
200309,3.15
200310,1.37
200311,3.17
200312,1.31
200401,0.81
200402,1.66
200403,3.08
200404,2.17
200405,7.54
200406,4.57
200407,3.1
200408,3.05
200409,2.17
200410,3.61
200411,1.65
200412,1.5
200501,1.66
200502,1.24
200503,1.22
200504,1.6
200505,2.61
200506,3.81
200507,3.08
200508,2.7
200509,3.77
200510,2.92
200511,2.92
200512,1.02
200601,1.4
200602,0.75
200603,2.09
200604,2.62
200605,4.16
200606,2.22
200607,3.5
200608,4.33
200609,3.19
200610,2.32
200611,1.71
200612,1.78
200701,0.93
200702,1.11
200703,2.29
200704,2.48
200705,2.62
200706,2.99
200707,3.06
200708,6.94
200709,3.3
200710,4.85
200711,0.31
200712,2.61
200801,1.32
200802,1.61
200803,1.1
200804,5.19
200805,3.11
200806,6.19
200807,3.97
200808,1.67
200809,2.67
200810,2.12
200811,1.28
200812,2.49
200901,0.63
200902,1.1
200903,2.17
200904,3.08
200905,2.88
200906,3.29
200907,2.17
200908,4.79
200909,1.15
200910,5.36
200911,0.85
200912,2.29
201001,0.89
201002,0.57
201003,0.73
201004,2.34
201005,3.15
201006,7.12
201007,7.5
201008,4.64
201009,6.31
201010,2.34
201011,1.71
201012,1.72
201101,0.91
201102,1.13
201103,2.38
201104,3.71
201105,3.05
201106,4.22
201107,4.61
201108,3.04
201109,3.08
201110,1.51
201111,1.95
201112,1.45
201201,1.02
201202,1.29
201203,2
201204,2.68
201205,4.81
201206,3.34
201207,3.19
201208,2.34
201209,1.5
201210,3.78
201211,1.11
201212,1.74
201301,1.69
201302,1.63
201303,1.93
201304,4.85
201305,5.37
201306,6.21
201307,2.46
201308,2.77
201309,2.17
201310,3.54
201311,2.33
201312,1.58
201401,1.13
201402,1.27
201403,1.1
201404,5.04
201405,3.8
201406,6.71
201407,2.51
201408,5.2
201409,3.86
201410,3.07
201411,2.03
201412,1.36
201501,0.53
201502,0.42
201503,0.73
201504,2.94
201505,4.65
201506,4.44
201507,3.38
201508,4
201509,4.39
201510,2.7
201511,3.42
201512,4.28
201601,0.84
201602,0.82
201603,3.93
201604,2.21
201605,3.06
201606,5.36
201607,5.2
201608,5.21
201609,5.99
201610,2.95
201611,1.84
201612,1.98
201701,2.03
201702,1.34
201703,1.99
201704,4.59
201705,4.94
201706,5.94
201707,4.46
201708,4.1
201709,1.9
201710,4.3
201711,0.91
201712,1.07
201801,1.2
201802,1.51
201803,0.92
201804,2.53
201805,4.7
201806,5.44
201807,3.11
201808,6.07
201809,5.52
201810,5.25
201811,1.94
201812,1.55
201901,1.43
201902,3.12
201903,1.34
201904,3.72
201905,5.56
201906,3.91
201907,5.33
201908,3.54
201909,7.03
201910,4.88
201911,2.03
201912,2.66
202001,1.34
202002,0.68
202003,3.04
202004,2.27
202005,3.97
202006,5
202007,5.55
202008,3.33
202009,3.17
202010,3
202011,2.06
202012,0.78
202101,0.84
202102,0.88
202103,1.87
202104,2.36
202105,2.99
202106,3.9
202107,4.35
202108,5.46
202109,2.07
202110,2.02
202111,1.24
202112,1.91
202201,0.5
202202,0.65
202203,3.19
202204,3.39
202205,3.9
202206,3.04
202207,3.63
202208,4.9
202209,2.71
202210,1.17
202211,3.07
202212,2.13
202301,1.71
202302,2.41
202303,2.44
202304,4.04
202305,1.61
202306,1.89
202307,3.87
202308,2.44
202309,3.54
202310,4.16
202311,0.53
202312,1.47
202401,1.2
202402,0.46
202403,2.57
202404,3.65
202405,5.59
202406,7.22
202407,4.23
202408,4.25
202409,1.41
202410,1.71
202411,3.45
202412,1.24
