#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 00 297  3.9  5.3 99.00 99.00 99.00 999 1020.5  15.3  22.2   4.6 99.0 99.00 
2020 01 01 00 10 313  4.0  6.2 99.00 99.00 99.00 999 1020.7  15.3  22.2   4.2 99.0 99.00 
2020 01 01 00 20 312  3.7  5.1 99.00 99.00 99.00 999 1020.9  15.3  22.2   4.5 99.0 99.00 
2020 01 01 00 30 300  3.4  6.3 99.00 99.00 99.00 999 1020.9  15.3  22.2   3.9 99.0 99.00 
2020 01 01 00 40 309  3.1  4.8  0.43  3.45  3.36   0 1021.1  15.4  22.2   4.1 99.0 99.00 
2020 01 01 00 50 305  3.5  5.2 99.00 99.00 99.00 999 1020.9  15.5  22.2   4.3 99.0 99.00 
2020 01 01 01 00 306  3.6  5.4 99.00 99.00 99.00 999 1021.0  15.5  22.2   4.1 99.0 99.00 
2020 01 01 01 10 310  3.9  5.3 99.00 99.00 99.00 999 1021.0  15.6  22.2   4.0 99.0 99.00 
2020 01 01 01 20 302  3.8  5.5 99.00 99.00 99.00 999 1021.0  15.7  22.2   4.7 99.0 99.00 
2020 01 01 01 30 301  3.5  5.2 99.00 99.00 99.00 999 1021.0  15.7  22.2   4.2 99.0 99.00 
2020 01 01 01 40 300  3.8  5.5  0.43  3.57  3.35 358 1021.2  15.8  22.2   3.9 99.0 99.00 
2020 01 01 01 50 319  3.7  5.3 99.00 99.00 99.00 999 1021.1  15.8  22.2   3.8 99.0 99.00 
2020 01 01 02 00 314  3.5  4.9 99.00 99.00 99.00 999 1021.1  15.9  22.2   4.1 99.0 99.00 
2020 01 01 02 10 313  3.5  5.9 99.00 99.00 99.00 999 1021.2  15.9  22.2   4.2 99.0 99.00 
2020 01 01 02 20 307  3.7  5.2 99.00 99.00 99.00 999 1021.2  15.9  22.2   4.5 99.0 99.00 
2020 01 01 02 30 317  3.4  4.8 99.00 99.00 99.00 999 1021.1  16.0  22.2   4.5 99.0 99.00 
2020 01 01 02 40 321  3.7  5.5  0.41  3.23  3.23 340 1021.3  16.1  22.2   4.0 99.0 99.00 
2020 01 01 02 50 326  3.3  5.3 99.00 99.00 99.00 999 1021.2  16.1  22.2   4.7 99.0 99.00 
2020 01 01 03 00 340  3.3  4.5 99.00 99.00 99.00 999 1021.2  16.1  22.2   3.9 99.0 99.00 
2020 01 01 03 10 347  3.2  5.0 99.00 99.00 99.00 999 1021.1  16.2  22.2   4.2 99.0 99.00 
2020 01 01 03 20 332  2.9  4.3 99.00 99.00 99.00 999 1021.0  16.1  22.2   4.6 99.0 99.00 
2020 01 01 03 30 318  3.4  5.3 99.00 99.00 99.00 999 1021.2  16.2  22.2   5.1 99.0 99.00 
2020 01 01 03 40 329  3.3  4.5  0.35  3.23  3.22 350 1021.0  16.2  22.2   4.7 99.0 99.00 
2020 01 01 03 50 319  3.0  4.5 99.00 99.00 99.00 999 1021.2  16.1  22.2   5.3 99.0 99.00 
2020 01 01 04 00 296  2.8  4.1 99.00 99.00 99.00 999 1021.2  16.1  22.2   5.4 99.0 99.00 
2020 01 01 04 10 317  2.7  5.1 99.00 99.00 99.00 999 1021.2  16.2  22.2   5.8 99.0 99.00 
2020 01 01 04 20 310  3.0  4.3 99.00 99.00 99.00 999 1021.2  16.2  22.2   5.7 99.0 99.00 
