Year,State,acres,crop
2024,ARKANSAS,500000.0,corn
2024,ILLINOIS,10800000.0,corn
2024,INDIANA,5200000.0,corn
2024,IOWA,12900000.0,corn
2024,KENTUCKY,1370000.0,corn
2024,LOUISIANA,470000.0,corn
2024,MINNESOTA,8200000.0,corn
2024,MISSISSIPPI,490000.0,corn
2024,MISSOURI,3500000.0,corn
2024,OHIO,3400000.0,corn
2024,SOUTH DAKOTA,5900000.0,corn
2024,TENNESSEE,700000.0,corn
2024,WISCONSIN,3750000.0,corn
2023,ARKANSAS,850000.0,corn
2023,ILLINOIS,11200000.0,corn
2023,INDIANA,5450000.0,corn
2023,IOWA,13100000.0,corn
2023,KENTUCKY,1600000.0,corn
2023,LOUISIANA,700000.0,corn
2023,MINNESOTA,8600000.0,corn
2023,MISSISSIPPI,790000.0,corn
2023,MISSOURI,3850000.0,corn
2023,OHIO,3600000.0,corn
2023,SOUTH DAKOTA,6300000.0,corn
2023,TENNESSEE,940000.0,corn
2023,WISCONSIN,4000000.0,corn
2022,ARKANSAS,710000.0,corn
2022,ILLINOIS,10800000.0,corn
2022,INDIANA,5250000.0,corn
2022,IOWA,12900000.0,corn
2022,KENTUCKY,1420000.0,corn
2022,LOUISIANA,450000.0,corn
2022,MINNESOTA,8000000.0,corn
2022,MISSISSIPPI,580000.0,corn
2022,MISSOURI,3350000.0,corn
2022,OHIO,3400000.0,corn
2022,SOUTH DAKOTA,5750000.0,corn
2022,TENNESSEE,830000.0,corn
2022,WISCONSIN,3900000.0,corn
2021,ARKANSAS,850000.0,corn
2021,ILLINOIS,11000000.0,corn
2021,INDIANA,5400000.0,corn
2021,IOWA,12900000.0,corn
2021,KENTUCKY,1530000.0,corn
2021,LOUISIANA,580000.0,corn
2021,MINNESOTA,8350000.0,corn
2021,MISSISSIPPI,730000.0,corn
2021,MISSOURI,3600000.0,corn
2021,OHIO,3550000.0,corn
2021,SOUTH DAKOTA,6150000.0,corn
2021,TENNESSEE,990000.0,corn
2021,WISCONSIN,3950000.0,corn
2020,ARKANSAS,620000.0,corn
2020,ILLINOIS,11300000.0,corn
2020,INDIANA,5400000.0,corn
2020,IOWA,13600000.0,corn
2020,KENTUCKY,1470000.0,corn
2020,LOUISIANA,500000.0,corn
2020,MINNESOTA,8000000.0,corn
2020,MISSISSIPPI,510000.0,corn
2020,MISSOURI,3450000.0,corn
2020,OHIO,3550000.0,corn
2020,SOUTH DAKOTA,4900000.0,corn
2020,TENNESSEE,860000.0,corn
2020,WISCONSIN,3950000.0,corn
2019,ARKANSAS,770000.0,corn
2019,ILLINOIS,10500000.0,corn
2019,INDIANA,4950000.0,corn
2019,IOWA,13400000.0,corn
2019,KENTUCKY,1550000.0,corn
