year,ARKANSAS_corn,ILLINOIS_corn,INDIANA_corn,IOWA_corn,KENTUCKY_corn,LOUISIANA_corn,MINNESOTA_corn,MISSISSIPPI_corn,MISSOURI_corn,OHIO_corn,SOUTH DAKOTA_corn,TENNESSEE_corn,WISCONSIN_corn,ARKANSAS_soy,ILLINOIS_soy,INDIANA_soy,IOWA_soy,KENTUCKY_soy,LOUISIANA_soy,MINNESOTA_soy,MISSISSIPPI_soy,MISSOURI_soy,OHIO_soy,SOUTH DAKOTA_soy,TENNESSEE_soy,WISCONSIN_soy,total_corn_acres_basin,total_soy_acres_basin,total_crop_acres_basin
2001,190000.0,11000000.0,5800000.0,11700000.0,1200000.0,315000.0,6800000.0,400000.0,2700000.0,3400000.0,3800000.0,680000.0,3400000.0,2900000.0,10700000.0,5600000.0,11000000.0,1240000.0,640000.0,7300000.0,1160000.0,4950000.0,4600000.0,4500000.0,1070000.0,1600000.0,51385000.0,57260000.0,108645000.0
2002,265000.0,11100000.0,5400000.0,12200000.0,1160000.0,580000.0,7200000.0,550000.0,2800000.0,3250000.0,4450000.0,690000.0,3650000.0,2950000.0,10600000.0,5800000.0,10450000.0,1310000.0,800000.0,7200000.0,1440000.0,5050000.0,4750000.0,4250000.0,1160000.0,1540000.0,53295000.0,57300000.0,110595000.0
2003,365000.0,11200000.0,5600000.0,12300000.0,1170000.0,520000.0,7200000.0,550000.0,2900000.0,3300000.0,4400000.0,710000.0,3750000.0,2920000.0,10300000.0,5450000.0,10600000.0,1250000.0,760000.0,7500000.0,1440000.0,5000000.0,4300000.0,4250000.0,1150000.0,1720000.0,53965000.0,56640000.0,110605000.0
2004,320000.0,11750000.0,5700000.0,12700000.0,1210000.0,420000.0,7500000.0,460000.0,2950000.0,3350000.0,4650000.0,680000.0,3600000.0,3200000.0,9950000.0,5550000.0,10200000.0,1310000.0,1100000.0,7300000.0,1670000.0,5000000.0,4450000.0,4150000.0,1210000.0,1600000.0,55290000.0,56690000.0,111980000.0
2005,240000.0,12100000.0,5900000.0,12800000.0,1250000.0,340000.0,7300000.0,380000.0,3100000.0,3450000.0,4450000.0,650000.0,3800000.0,3030000.0,9500000.0,5400000.0,10050000.0,1250000.0,880000.0,6900000.0,1610000.0,4950000.0,4500000.0,3900000.0,1130000.0,1610000.0,55760000.0,54710000.0,110470000.0
2006,190000.0,11300000.0,5500000.0,12600000.0,1120000.0,300000.0,7300000.0,340000.0,2700000.0,3150000.0,4500000.0,550000.0,3650000.0,3110000.0,10100000.0,5700000.0,10150000.0,1380000.0,870000.0,7350000.0,1670000.0,5150000.0,4650000.0,3950000.0,1160000.0,1650000.0,53200000.0,56890000.0,110090000.0
2007,610000.0,13200000.0,6500000.0,14200000.0,1440000.0,740000.0,8400000.0,930000.0,3450000.0,3850000.0,4950000.0,860000.0,4050000.0,2850000.0,8300000.0,4800000.0,8650000.0,1120000.0,615000.0,6350000.0,1460000.0,4700000.0,4250000.0,3250000.0,1080000.0,1400000.0,63180000.0,48825000.0,112005000.0
2008,440000.0,12100000.0,5700000.0,13300000.0,1210000.0,520000.0,7700000.0,720000.0,2800000.0,3300000.0,4750000.0,690000.0,3800000.0,3300000.0,9200000.0,5450000.0,9750000.0,1390000.0,1050000.0,7050000.0,2000000.0,5200000.0,4500000.0,4100000.0,1490000.0,1610000.0,57030000.0,56090000.0,113120000.0
2009,430000.0,12000000.0,5600000.0,13600000.0,1220000.0,630000.0,7600000.0,730000.0,3000000.0,3350000.0,5000000.0,670000.0,3850000.0,3420000.0,9400000.0,5450000.0,9600000.0,1430000.0,1020000.0,7200000.0,2160000.0,5350000.0,4550000.0,4250000.0,1570000.0,1630000.0,57680000.0,57030000.0,114710000.0
2010,390000.0,12600000.0,5900000.0,13400000.0,1340000.0,510000.0,7700000.0,750000.0,3150000.0,3450000.0,4550000.0,710000.0,3900000.0,3190000.0,9100000.0,5350000.0,9800000.0,1400000.0,1030000.0,7400000.0,2000000.0,5150000.0,4600000.0,4200000.0,1450000.0,1640000.0,58350000.0,56310000.0,114660000.0
2011,560000.0,12600000.0,5900000.0,14100000.0,1380000.0,580000.0,8100000.0,810000.0,3300000.0,3400000.0,5200000.0,790000.0,4150000.0,3330000.0,8950000.0,5300000.0,9350000.0,1490000.0,1020000.0,7100000.0,1830000.0,5350000.0,4550000.0,4100000.0,1290000.0,1620000.0,60870000.0,55280000.0,116150000.0
2012,710000.0,12800000.0,6250000.0,14200000.0,1650000.0,540000.0,8750000.0,820000.0,3600000.0,3900000.0,6150000.0,1040000.0,4350000.0,3200000.0,9050000.0,5150000.0,9350000.0,1480000.0,1130000.0,7050000.0,1970000.0,5400000.0,4600000.0,4750000.0,1260000.0,1710000.0,64760000.0,56100000.0,120860000.0
