year,zone,data_available,n_stations,mean_O2,median_O2,std_O2,min_O2,max_O2,n_hypoxic,percent_hypoxic,n_severe_hypoxic,percent_severe_hypoxic,estimated_hypoxic_area_km2,mean_depth,median_depth,lon_min,lon_max,lat_min,lat_max,lon_range,lat_range
2001,Zone1,True,64,4.9103171875000005,5.4875,1.417738507865265,0.0967,6.2849,4.0,6.25,2.0,3.125,3300.8598951993504,35.954687500000006,29.1,-97.349167,-93.002333,26.103167,29.4975,4.346834000000001,3.3943329999999996
2001,Zone2,True,13,2.7540153846153848,3.4394,1.8532612942441737,0.3571,5.1477,6.0,46.15384615384615,4.0,30.76923076923077,7191.07676022346,47.95384615384614,34.4,-92.999,-89.634833,28.004167,29.501,3.364166999999995,1.4968330000000023
2001,Zone3,True,2,4.6254,4.6254,1.2865100776908045,3.7157,5.5351,0.0,0.0,0.0,0.0,0.0,34.2,34.2,-87.996667,-87.985667,29.493,29.998,0.01099999999999568,0.5050000000000026
2002,Zone1,True,129,4.024418604651163,4.48,1.5737554144946293,0.06,6.13,20.0,15.503875968992247,10.0,7.751937984496124,17766.20006927989,0.0,0.0,-97.3418,-93.0012,25.9998,29.5135,4.340600000000009,3.5137
2002,Zone2,True,56,2.82075,3.415,1.6237485950725252,0.13,5.44,18.0,32.142857142857146,13.0,23.214285714285715,9134.678151359978,0.0,0.0,-92.9495,-89.0008,28.0097,29.5167,3.9487000000000023,1.5070000000000014
2002,Zone3,True,15,5.173333333333334,4.98,0.5647586926753594,4.09,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.9913,-87.9978,29.0507,30.0198,0.9934999999999974,0.969100000000001
2003,Zone1,True,111,5.8143918918918915,6.08,1.006717363255008,1.964,7.7,1.0,0.9009009009009009,0.0,0.0,0.0,0.0,0.0,-97.355,-93.0345,26.0,29.3715,4.32050000000001,3.371500000000001
2003,Zone2,True,15,3.072,3.48,2.1631729341079375,0.0,6.39,5.0,33.33333333333333,5.0,33.33333333333333,7071.236618399992,0.0,0.0,-92.9502,-89.5963,28.696,29.1725,3.353899999999996,0.4764999999999979
2003,Zone3,True,27,3.5355555555555553,3.82,0.7759378114124141,1.71,4.58,1.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,-88.9817,-87.9465,28.9893,30.0577,1.0352000000000032,1.0684000000000005
2004,Zone1,True,139,4.979665035971223,5.34377,1.1979356317664211,0.0,6.4072,6.0,4.316546762589928,2.0,1.4388489208633095,4483.063302479959,0.0,0.0,-97.35317,-93.003,25.99867,29.62183,4.350170000000006,3.6231599999999986
2004,Zone2,True,78,3.0382593589743587,3.420675,1.9318839997659105,0.0,6.32398,24.0,30.76923076923077,18.0,23.076923076923077,16640.685279777663,0.0,0.0,-92.99617,-89.50183,27.99817,29.51933,3.494340000000008,1.5211600000000018
2004,Zone3,False,0,,,,,,,,,,,,,,,,,,
2005,Zone1,True,116,5.4431188793103455,5.68959,0.957851078187883,0.96463,7.12918,2.0,1.7241379310344827,1.0,0.8620689655172413,0.0,0.0,0.0,-97.3418,-93.0032,26.0,29.6493,4.3386,3.6493
2005,Zone2,True,49,2.893122653061224,3.25081,1.7288567698696338,0.0,6.13947,19.0,38.775510204081634,9.0,18.367346938775512,18486.62388431998,0.0,0.0,-92.8895,-89.0158,28.3677,29.5268,3.8736999999999995,1.1591000000000022
2005,Zone3,True,14,5.0328614285714295,4.8550699999999996,0.9604621174434502,3.93666,6.22587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.9465,-87.9968,29.0972,29.9983,0.9497000000000071,0.9010999999999996
2006,Zone1,True,128,5.5071189843749995,5.66715,0.9534484675427353,1.01124,7.20706,2.0,1.5625,0.0,0.0,0.0,0.0,0.0,-97.3443,-93.0037,26.0187,29.518,4.340600000000009,3.4993000000000016
2006,Zone2,True,78,3.85055935897436,4.1615400000000005,1.614187324925126,0.18921,6.59135,13.0,16.666666666666664,4.0,5.128205128205128,11431.642354560034,0.0,0.0,-92.9063,-89.5037,27.989,29.5635,3.4026000000000067,1.5745000000000005
2006,Zone3,True,24,4.539005,4.77835,1.1260152691875356,1.51729,6.37276,1.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,-88.9983,-88.0027,29.004,30.1257,0.995599999999996,1.121699999999997
2007,Zone1,True,106,4.367230283018868,4.960615,1.5619887026927943,0.5676,6.5315,12.0,11.320754716981133,7.0,6.60377358490566,8613.333164880025,0.0,0.0,-97.34183,-93.021,26.01383,29.55717,4.320830000000001,3.5433400000000006
