state,year,month,precip_inches,region
Wisconsin,2001,1,1.17,Upper
Wisconsin,2001,2,1.65,Upper
Wisconsin,2001,3,0.68,Upper
Wisconsin,2001,4,4.86,Upper
Wisconsin,2001,5,4.91,Upper
Wisconsin,2001,6,4.73,Upper
Wisconsin,2001,7,2.61,Upper
Wisconsin,2001,8,4.48,Upper
Wisconsin,2001,9,4.04,Upper
Wisconsin,2001,10,2.43,Upper
Wisconsin,2001,11,2.26,Upper
Wisconsin,2001,12,1.23,Upper
Wisconsin,2002,1,0.5,Upper
Wisconsin,2002,2,1.78,Upper
Wisconsin,2002,3,2.27,Upper
Wisconsin,2002,4,4.21,Upper
Wisconsin,2002,5,3.0,Upper
Wisconsin,2002,6,5.64,Upper
Wisconsin,2002,7,3.63,Upper
Wisconsin,2002,8,4.58,Upper
Wisconsin,2002,9,4.57,Upper
Wisconsin,2002,10,3.93,Upper
Wisconsin,2002,11,0.39,Upper
Wisconsin,2002,12,0.58,Upper
Wisconsin,2003,1,0.36,Upper
Wisconsin,2003,2,0.64,Upper
Wisconsin,2003,3,1.85,Upper
Wisconsin,2003,4,2.76,Upper
Wisconsin,2003,5,4.82,Upper
Wisconsin,2003,6,3.35,Upper
Wisconsin,2003,7,3.28,Upper
Wisconsin,2003,8,1.96,Upper
Wisconsin,2003,9,3.15,Upper
Wisconsin,2003,10,1.37,Upper
Wisconsin,2003,11,3.17,Upper
Wisconsin,2003,12,1.31,Upper
Wisconsin,2004,1,0.81,Upper
Wisconsin,2004,2,1.66,Upper
Wisconsin,2004,3,3.08,Upper
Wisconsin,2004,4,2.17,Upper
Wisconsin,2004,5,7.54,Upper
Wisconsin,2004,6,4.57,Upper
Wisconsin,2004,7,3.1,Upper
Wisconsin,2004,8,3.05,Upper
Wisconsin,2004,9,2.17,Upper
Wisconsin,2004,10,3.61,Upper
Wisconsin,2004,11,1.65,Upper
Wisconsin,2004,12,1.5,Upper
Wisconsin,2005,1,1.66,Upper
Wisconsin,2005,2,1.24,Upper
Wisconsin,2005,3,1.22,Upper
Wisconsin,2005,4,1.6,Upper
Wisconsin,2005,5,2.61,Upper
Wisconsin,2005,6,3.81,Upper
Wisconsin,2005,7,3.08,Upper
Wisconsin,2005,8,2.7,Upper
Wisconsin,2005,9,3.77,Upper
Wisconsin,2005,10,2.92,Upper
Wisconsin,2005,11,2.92,Upper
Wisconsin,2005,12,1.02,Upper
Wisconsin,2006,1,1.4,Upper
Wisconsin,2006,2,0.75,Upper
Wisconsin,2006,3,2.09,Upper
Wisconsin,2006,4,2.62,Upper
Wisconsin,2006,5,4.16,Upper
Wisconsin,2006,6,2.22,Upper
Wisconsin,2006,7,3.5,Upper
Wisconsin,2006,8,4.33,Upper
Wisconsin,2006,9,3.19,Upper
Wisconsin,2006,10,2.32,Upper
Wisconsin,2006,11,1.71,Upper
Wisconsin,2006,12,1.78,Upper
Wisconsin,2007,1,0.93,Upper
Wisconsin,2007,2,1.11,Upper
Wisconsin,2007,3,2.29,Upper
Wisconsin,2007,4,2.48,Upper
Wisconsin,2007,5,2.62,Upper
Wisconsin,2007,6,2.99,Upper
Wisconsin,2007,7,3.06,Upper
Wisconsin,2007,8,6.94,Upper
Wisconsin,2007,9,3.3,Upper
Wisconsin,2007,10,4.85,Upper
Wisconsin,2007,11,0.31,Upper
Wisconsin,2007,12,2.61,Upper
Wisconsin,2008,1,1.32,Upper
Wisconsin,2008,2,1.61,Upper
Wisconsin,2008,3,1.1,Upper
Wisconsin,2008,4,5.19,Upper
Wisconsin,2008,5,3.11,Upper
Wisconsin,2008,6,6.19,Upper
Wisconsin,2008,7,3.97,Upper
Wisconsin,2008,8,1.67,Upper
Wisconsin,2008,9,2.67,Upper
Wisconsin,2008,10,2.12,Upper
Wisconsin,2008,11,1.28,Upper
Wisconsin,2008,12,2.49,Upper
Wisconsin,2009,1,0.63,Upper
Wisconsin,2009,2,1.1,Upper
Wisconsin,2009,3,2.17,Upper
Wisconsin,2009,4,3.08,Upper
Wisconsin,2009,5,2.88,Upper
Wisconsin,2009,6,3.29,Upper
Wisconsin,2009,7,2.17,Upper
Wisconsin,2009,8,4.79,Upper
Wisconsin,2009,9,1.15,Upper
Wisconsin,2009,10,5.36,Upper
Wisconsin,2009,11,0.85,Upper
Wisconsin,2009,12,2.29,Upper
Wisconsin,2010,1,0.89,Upper
Wisconsin,2010,2,0.57,Upper
Wisconsin,2010,3,0.73,Upper
Wisconsin,2010,4,2.34,Upper
Wisconsin,2010,5,3.15,Upper
Wisconsin,2010,6,7.12,Upper
Wisconsin,2010,7,7.5,Upper
Wisconsin,2010,8,4.64,Upper
Wisconsin,2010,9,6.31,Upper
Wisconsin,2010,10,2.34,Upper
Wisconsin,2010,11,1.71,Upper
Wisconsin,2010,12,1.72,Upper
Wisconsin,2011,1,0.91,Upper
Wisconsin,2011,2,1.13,Upper
Wisconsin,2011,3,2.38,Upper
Wisconsin,2011,4,3.71,Upper
Wisconsin,2011,5,3.05,Upper
Wisconsin,2011,6,4.22,Upper
Wisconsin,2011,7,4.61,Upper
Wisconsin,2011,8,3.04,Upper
Wisconsin,2011,9,3.08,Upper
Wisconsin,2011,10,1.51,Upper
Wisconsin,2011,11,1.95,Upper
Wisconsin,2011,12,1.45,Upper
Wisconsin,2012,1,1.02,Upper
Wisconsin,2012,2,1.29,Upper
Wisconsin,2012,3,2.0,Upper
Wisconsin,2012,4,2.68,Upper
Wisconsin,2012,5,4.81,Upper
Wisconsin,2012,6,3.34,Upper
Wisconsin,2012,7,3.19,Upper
Wisconsin,2012,8,2.34,Upper
Wisconsin,2012,9,1.5,Upper
Wisconsin,2012,10,3.78,Upper
Wisconsin,2012,11,1.11,Upper
Wisconsin,2012,12,1.74,Upper
Wisconsin,2013,1,1.69,Upper
Wisconsin,2013,2,1.63,Upper
Wisconsin,2013,3,1.93,Upper
Wisconsin,2013,4,4.85,Upper
Wisconsin,2013,5,5.37,Upper
Wisconsin,2013,6,6.21,Upper
Wisconsin,2013,7,2.46,Upper
Wisconsin,2013,8,2.77,Upper
Wisconsin,2013,9,2.17,Upper
Wisconsin,2013,10,3.54,Upper
Wisconsin,2013,11,2.33,Upper
Wisconsin,2013,12,1.58,Upper
Wisconsin,2014,1,1.13,Upper
Wisconsin,2014,2,1.27,Upper
Wisconsin,2014,3,1.1,Upper
Wisconsin,2014,4,5.04,Upper
Wisconsin,2014,5,3.8,Upper
Wisconsin,2014,6,6.71,Upper
Wisconsin,2014,7,2.51,Upper
Wisconsin,2014,8,5.2,Upper
Wisconsin,2014,9,3.86,Upper
Wisconsin,2014,10,3.07,Upper
Wisconsin,2014,11,2.03,Upper
Wisconsin,2014,12,1.36,Upper
Wisconsin,2015,1,0.53,Upper
Wisconsin,2015,2,0.42,Upper
Wisconsin,2015,3,0.73,Upper
Wisconsin,2015,4,2.94,Upper
Wisconsin,2015,5,4.65,Upper
Wisconsin,2015,6,4.44,Upper
Wisconsin,2015,7,3.38,Upper
Wisconsin,2015,8,4.0,Upper
Wisconsin,2015,9,4.39,Upper
Wisconsin,2015,10,2.7,Upper
