year,month,nitrogen_mg_L,sample_count,phosphorus_mg_L
2001,1,0.172,1.0,0.1565
2001,2,0.574,1.0,0.309
2001,3,0.8725,2.0,0.36219999999999997
2001,4,0.7484999999999999,2.0,0.30200000000000005
2001,5,0.786,2.0,0.22479999999999997
2001,6,1.016,2.0,0.3405
2001,7,0.36,1.0,0.23299999999999998
2001,8,0.426,1.0,0.17166666666666666
2001,9,0.772,1.0,0.203
2001,10,0.452,1.0,0.2
2001,11,0.484,1.0,0.151
2002,1,0.285,1.0,0.13
2002,2,0.554,1.0,0.1805
2002,3,0.48250000000000004,2.0,0.143
2002,4,0.7116666666666666,3.0,0.22683333333333333
2002,5,0.742,2.0,0.32975
2002,6,0.437,1.0,0.18866666666666668
2002,7,0.199,1.0,0.1745
2002,8,0.393,1.0,0.1935
2002,9,0.51,1.0,0.17900000000000002
2002,10,0.354,1.0,0.178
2002,12,0.448,1.0,0.127
2003,1,0.333,1.0,0.11766666666666666
2003,2,0.592,1.0,0.0975
2003,3,0.456,1.0,0.10366666666666667
2003,4,0.5006666666666667,3.0,0.15514285714285717
2003,5,0.633,2.0,0.2525
2003,6,0.519,1.0,0.2285
2003,7,0.4165,2.0,0.2122
2003,8,0.519,1.0,0.21200000000000002
2003,9,0.543,1.0,0.2185
2003,10,0.472,1.0,0.13566666666666669
2003,12,0.208,1.0,0.159
2004,1,0.288,1.0,0.14550000000000002
2004,2,0.282,1.0,0.0955
2004,3,0.965,2.0,0.3634
2004,4,0.611,2.0,0.221
2004,5,0.628,2.0,0.1764
2004,6,1.0274999999999999,2.0,0.39039999999999997
2004,7,0.305,1.0,0.21849999999999997
2004,8,0.317,1.0,0.168
2004,9,0.918,1.0,0.3295
2004,10,0.337,1.0,0.194
2004,12,0.512,1.0,0.2335
2005,1,0.598,1.0,0.2495
2005,2,0.63,1.0,0.2585
2005,3,0.335,1.0,0.20600000000000002
2005,4,0.5885,2.0,0.22275
2005,5,0.776,2.0,0.28475
2005,6,0.841,1.0,0.305
2005,7,0.516,1.0,0.247
2005,8,0.336,1.0,0.195
2005,9,0.388,1.0,0.24
2005,10,0.313,1.0,0.147
2005,12,0.516,1.0,0.166
2006,1,0.23,1.0,0.1885
2006,2,0.431,1.0,0.16999999999999998
2006,3,0.655,2.0,0.1764
2006,4,0.537,2.0,0.17775000000000002
2006,5,0.442,1.0,0.15133333333333335
2006,6,0.397,1.0,0.15633333333333332
2006,7,0.46699999999999997,2.0,0.17450000000000002
2006,8,0.336,1.0,0.189
2006,9,0.332,1.0,0.21233333333333335
2006,10,0.06,1.0,0.16849999999999998
2006,12,0.441,1.0,0.196
2007,1,0.341,1.0,0.1965
2007,2,0.336,1.0,0.185
2007,3,1.174,2.0,0.33140000000000003
2007,4,0.6535,2.0,0.2246
2007,5,0.7125,2.0,0.265
2007,6,0.843,1.0,0.214
2007,7,0.277,1.0,0.1795
2007,8,0.509,1.0,0.27149999999999996
2007,9,0.421,1.0,0.23466666666666666
2007,11,0.301,1.0,0.1995
